global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.1709750566893424,0.9876969348310978,0.2362155388471178,0.5793359957602201,0.19836885030255197,0.1859334461220548,377,1219,97862,1828
5,0.2,0.2,0.9837607613972407,0.2151219512195122,0.5918803806986204,0.2072855464159812,0.19043234412763074,441,1609,97472,1764
5,0.3,0.20861678004535147,0.9813284080701649,0.19913419913419914,0.5949725940577582,0.20376522702104097,0.18567645867347754,460,1850,97231,1745
5,0.4,0.2222222222222222,0.9796631039250714,0.19560878243512975,0.6009426630736467,0.208067940552017,0.18969839960858584,490,2015,97066,1715
5,0.5,0.22312925170068026,0.9781592838182901,0.1852409638554217,0.6006442677594852,0.2024274840567784,0.18382305341338792,492,2164,96917,1713
5,0.6,0.2276643990929705,0.9772307505979956,0.18201595358955766,0.6024475748454831,0.20229699778359864,0.18371905412386327,502,2256,96825,1703
5,0.7,0.2276643990929705,0.9766049999495362,0.17801418439716313,0.6021346995212533,0.1998009950248756,0.18119036364112695,502,2318,96763,1703
5,0.8,0.2276643990929705,0.9764536086636186,0.17707231040564375,0.6020590038782946,0.1992063492063492,0.1805902132518027,502,2333,96748,1703
5,0.9,0.2276643990929705,0.9764536086636186,0.17707231040564375,0.6020590038782946,0.1992063492063492,0.1805902132518027,502,2333,96748,1703
5,1.0,0.2276643990929705,0.9764536086636186,0.17707231040564375,0.6020590038782946,0.1992063492063492,0.1805902132518027,502,2333,96748,1703
10,0.1,0.17188208616780046,0.9859307031620593,0.2137619853355894,0.5789063946649299,0.19054801407742583,0.1756092573161372,379,1394,97687,1826
10,0.2,0.1836734693877551,0.9827615789101846,0.19167061050638903,0.5832175241489699,0.18758684576192683,0.16994085537066406,405,1708,97373,1800
10,0.3,0.19773242630385487,0.9803090400783198,0.18265605362379556,0.5890207331910873,0.18989547038327526,0.17127678028995175,436,1951,97130,1769
10,0.4,0.20634920634920634,0.9793805068580252,0.18214571657325862,0.5928648566036158,0.1934935147778014,0.17475618771212292,455,2043,97038,1750
