global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.07256235827664399,0.9985567364075857,0.528052805280528,0.5355595473421149,0.12759170653907495,0.19003791572316575,160,143,98938,2045
5,0.2,0.11700680272108843,0.9965886496906572,0.43288590604026844,0.5567977262058728,0.1842199214566226,0.21674252710786418,258,338,98743,1947
5,0.3,0.17551020408163265,0.9964574439095286,0.524390243902439,0.5859838239955806,0.26299694189602446,0.29507426891566757,387,351,98730,1818
5,0.4,0.18820861678004536,0.9941764818683704,0.4183467741935484,0.5911925493242078,0.2596183922427276,0.2702685599120784,415,577,98504,1790
5,0.5,0.18049886621315192,0.9934598964483604,0.38049713193116635,0.5869793813307562,0.24484773915718241,0.251107350761565,398,648,98433,1807
5,0.6,0.1727891156462585,0.992612105247222,0.3423180592991914,0.5827006104467403,0.22965641952983726,0.23153426728616358,381,732,98349,1824
5,0.7,0.17324263038548754,0.9913606039503032,0.308562197092084,0.5823016171678954,0.22189950624455418,0.2186116610025219,382,856,98225,1823
5,0.8,0.17142857142857143,0.9917441285412945,0.31605351170568563,0.581586349984933,0.22228756248162304,0.22043779224002855,378,818,98263,1827
5,0.9,0.16689342403628118,0.9915321807410099,0.30488815244407624,0.5792128023886456,0.21570926143024619,0.21305893289336192,368,839,98242,1837
5,1.0,0.16281179138321997,0.9891099201663286,0.24965229485396384,0.5759608557747743,0.19709031018391437,0.1874002663826042,359,1079,98002,1846
10,0.1,0.07392290249433106,0.9982236755785671,0.4808259587020649,0.536073289036449,0.12814465408805029,0.18229244383952742,163,176,98905,2042
10,0.2,0.13378684807256236,0.996406980147556,0.45314900153609833,0.5650969141100592,0.20658263305322128,0.23775237552169978,295,356,98725,1910
10,0.3,0.16689342403628118,0.9955591889464176,0.45544554455445546,0.5812263064913494,0.24427480916030536,0.2664925161409884,368,440,98641,1837
10,0.4,0.1836734693877551,0.9940755543444253,0.40826612903225806,0.5888745118660902,0.2533625273694088,0.26339856175685183,405,587,98494,1800
10,0.5,0.18276643990929706,0.9926524762568,0.3563218390804598,0.5877094580830485,0.24160671462829736,0.2436173926294514,403,728,98353,1802
10,0.6,0.19863945578231293,0.9910376358736791,0.33031674208144796,0.594838545827996,0.24808836023789294,0.2435171114718155,438,888,98193,1767
10,0.7,0.18412698412698414,0.990734853301844,0.3066465256797583,0.587430918714414,0.23009351090960614,0.2246637812849907,406,918,98163,1799
10,0.8,0.15963718820861678,0.9894227954905582,0.25142857142857145,0.5745299918495875,0.19528432732316225,0.18631345870360094,352,1048,98033,1853
10,0.9,0.15510204081632653,0.9885144477750527,0.23108108108108108,0.5718082442956897,0.18561736770691994,0.17466046363469087,342,1138,97943,1863
10,1.0,0.15419501133786848,0.9886254680513923,0.23176550783912747,0.5714102396946303,0.18518518518518517,0.17444892987148997,340,1127,97954,1865
15,0.1,0.08299319727891157,0.9964372584047395,0.3414179104477612,0.5397152278418256,0.13352790952207222,0.15976499100370775,183,353,98728,2022
15,0.2,0.1365079365079365,0.9955490961940231,0.4056603773584906,0.5660285163509798,0.2042755344418052,0.22598571627437286,301,441,98640,1904
15,0.3,0.17505668934240362,0.9947618615072517,0.4265193370165746,0.5849092754248276,0.24823151125401927,0.26335075602585517,386,519,98562,1819
15,0.4,0.18231292517006803,0.991855148817634,0.3325062034739454,0.587084036993851,0.23550087873462217,0.2340387378328379,402,807,98274,1803
15,0.5,0.18639455782312925,0.9905531837587428,0.3051224944320713,0.588473870790936,0.23141891891891891,0.22542039885457862,411,936,98145,1794
15,0.6,0.18684807256235827,0.9901494736629626,0.2968299711815562,0.5884987731126604,0.22933481770108544,0.22217418886759763,412,976,98105,1793
15,0.7,0.18503401360544217,0.9897255780623934,0.2861150070126227,0.5873797958339178,0.22473147893142387,0.2164636439858105,408,1018,98063,1797
15,0.8,0.1854875283446712,0.9893622389761912,0.27956254272043746,0.5874248836604312,0.22300981461286806,0.21385877474467813,409,1054,98027,1796
15,0.9,0.18503401360544217,0.9892714042046407,0.27736233854520737,0.5871527089050415,0.22198041349292708,0.21262098793472123,408,1063,98018,1797
15,1.0,0.18775510204081633,0.9893824244809802,0.28240109140518416,0.5885687632608982,0.22555162081176794,0.21643839045197572,414,1052,98029,1791
20,0.1,0.11065759637188209,0.9970529163008044,0.4552238805970149,0.5538552563363432,0.17803721269609632,0.21664698937007912,244,292,98789,1961
20,0.2,0.1546485260770975,0.9965583714334736,0.5,0.5756034487552856,0.2362313820574991,0.2698182234376105,341,341,98740,1864
20,0.3,0.17369614512471657,0.9935608239723055,0.3751224289911851,0.583628484548511,0.23744575325480471,0.24434089477758392,383,638,98443,1822
20,0.4,0.18866213151927438,0.9922790444182032,0.3522438611346317,0.5904705879687389,0.24571766095688133,0.24597108801110168,416,765,98316,1789
20,0.5,0.18775510204081633,0.9907045750446605,0.3101123595505618,0.5892298385427384,0.23389830508474577,0.22835229759505504,414,921,98160,1791
20,0.6,0.1836734693877551,0.9898567838435219,0.2872340425531915,0.5867651266156385,0.2240663900414938,0.21613970847291966,405,1005,98076,1800
20,0.7,0.18095238095238095,0.989059456404356,0.26904922454484154,0.5850059186783685,0.2163774403470716,0.20655526758465798,399,1084,97997,1806
20,0.8,0.17687074829931973,0.9888576013564659,0.26104417670682734,0.5828641748278929,0.21086780210867806,0.20061949414043176,390,1104,97977,1815
20,0.9,0.1746031746031746,0.9881914796984286,0.24758842443729903,0.5813973271508016,0.20478723404255317,0.19322323271018774,385,1170,97911,1820
20,1.0,0.1746031746031746,0.9881914796984286,0.24758842443729903,0.5813973271508016,0.20478723404255317,0.19322323271018774,385,1170,97911,1820
25,0.1,0.1401360544217687,0.9979713567687044,0.6058823529411764,0.5690537055952366,0.2276243093922652,0.28474284882344836,309,201,98880,1896
25,0.2,0.1873015873015873,0.9958821570230417,0.5030450669914738,0.5915918721623146,0.2729676140118969,0.2981312125921224,413,408,98673,1792
25,0.3,0.19591836734693877,0.9938837920489296,0.4161849710982659,0.5949010796979342,0.26641998149861235,0.2750198883122134,432,606,98475,1773
25,0.4,0.19229024943310657,0.9919056125796066,0.3458401305057096,0.5920979310063565,0.24715826289711454,0.24581244840597766,424,802,98279,1781
25,0.5,0.1836734693877551,0.9911284706452297,0.31542056074766356,0.5874009700164924,0.2321582115219261,0.22801261796626443,405,879,98202,1800
25,0.6,0.18231292517006803,0.988837415851677,0.26657824933687,0.5855751705108725,0.21653649340156209,0.20623348861430957,402,1106,97975,1803
25,0.7,0.17052154195011338,0.9886860245657594,0.2511690046760187,0.5796037832579364,0.20313344138303618,0.1925355616843567,376,1121,97960,1829
25,0.8,0.1764172335600907,0.9891502911759066,0.2657103825136612,0.5827837623679987,0.2120468792586536,0.2024375029476436,389,1075,98006,1816
25,0.9,0.17959183673469387,0.9892512186998517,0.27104722792607805,0.5844215277172727,0.2160392798690671,0.20665119582972494,396,1065,98016,1809
25,1.0,0.18140589569160998,0.9889181578708329,0.26702269692923897,0.5851620267812214,0.21604104779908181,0.2059114069215643,400,1098,97983,1805
