global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.2670807453416149,1.0,1.0,0.6335403726708074,0.4215686274509804,0.4975483855164463,43,0,1496,118
5,0.2,0.37888198757763975,1.0,1.0,0.6894409937888198,0.5495495495495496,0.5959383480459808,61,0,1496,100
5,0.3,0.4720496894409938,0.9966577540106952,0.9382716049382716,0.7343537217258445,0.628099173553719,0.643813337233981,76,5,1491,85
5,0.4,0.484472049689441,0.9906417112299465,0.8478260869565217,0.7375568804596937,0.6166007905138341,0.614504771472143,78,14,1482,83
5,0.5,0.4720496894409938,0.9779411764705882,0.6972477064220184,0.724995432955791,0.5629629629629629,0.537630261788629,76,33,1463,85
5,0.6,0.453416149068323,0.9739304812834224,0.6517857142857143,0.7136733151758727,0.5347985347985348,0.504180175895289,73,39,1457,88
5,0.7,0.4472049689440994,0.9725935828877005,0.6371681415929203,0.7098992759159,0.5255474452554744,0.49323831007729696,72,41,1455,89
5,0.8,0.4409937888198758,0.9659090909090909,0.5819672131147541,0.7034514398644833,0.5017667844522968,0.46146141451909395,71,51,1445,90
5,0.9,0.4472049689440994,0.9679144385026738,0.6,0.7075597037233866,0.5124555160142348,0.4743776461097166,72,48,1448,89
5,1.0,0.4409937888198758,0.9705882352941176,0.6173913043478261,0.7057910120569967,0.5144927536231884,0.47967162266135877,71,44,1452,90
10,0.1,0.37267080745341613,1.0,1.0,0.6863354037267081,0.5429864253393665,0.5908483483849082,60,0,1496,101
10,0.2,0.4968944099378882,1.0,1.0,0.7484472049689441,0.6639004149377593,0.6865655463076455,80,0,1496,81
10,0.3,0.4906832298136646,1.0,1.0,0.7453416149068323,0.6583333333333333,0.682044804400644,79,0,1496,82
10,0.4,0.5403726708074534,0.9886363636363636,0.8365384615384616,0.7645045172219085,0.6566037735849057,0.6460102759313618,87,17,1479,74
10,0.5,0.515527950310559,0.9779411764705882,0.7155172413793104,0.7467345633905735,0.5992779783393501,0.5728071200068916,83,33,1463,78
10,0.6,0.5652173913043478,0.9692513368983957,0.6642335766423357,0.7672343641013717,0.6107382550335569,0.5748029084018271,91,46,1450,70
10,0.7,0.5279503105590062,0.9692513368983957,0.648854961832061,0.748600823728701,0.5821917808219178,0.545755824224823,85,46,1450,76
