global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.020134228187919462,0.9906810035842294,0.1875,0.5054076158860744,0.03636363636363636,0.031535113645927974,3,13,1382,146
5,0.2,0.10738255033557047,0.9691756272401434,0.2711864406779661,0.5382790887878569,0.15384615384615385,0.1179186754214626,16,43,1352,133
5,0.3,0.174496644295302,0.9684587813620071,0.37142857142857144,0.5714777128286546,0.2374429223744292,0.20290050092985387,26,44,1351,123
5,0.4,0.3221476510067114,0.9584229390681004,0.4528301886792453,0.6402852950374058,0.37647058823529406,0.32763478747890995,48,58,1337,101
5,0.5,0.12080536912751678,0.9412186379928316,0.18,0.5310120035601742,0.14457831325301204,0.07441431052406769,18,82,1313,131
5,0.6,0.16778523489932887,0.9433691756272401,0.2403846153846154,0.5555772052632845,0.1976284584980237,0.13095106119229996,25,79,1316,124
5,0.7,0.20134228187919462,0.9455197132616487,0.2830188679245283,0.5734309975704217,0.23529411764705882,0.17149729967730729,30,76,1319,119
5,0.8,0.1610738255033557,0.9498207885304659,0.2553191489361702,0.5554473070169108,0.19753086419753085,0.13694392267115538,24,70,1325,125
5,0.9,0.174496644295302,0.9469534050179211,0.26,0.5607250246566116,0.20883534136546186,0.1457116704056442,26,74,1321,123
5,1.0,0.1610738255033557,0.9498207885304659,0.2553191489361702,0.5554473070169108,0.19753086419753085,0.13694392267115538,24,70,1325,125
10,0.1,0.03355704697986577,0.9992831541218637,0.8333333333333334,0.5164201005508647,0.06451612903225808,0.15585913190680747,5,1,1394,144
10,0.2,0.10738255033557047,0.978494623655914,0.34782608695652173,0.5429385869957423,0.1641025641025641,0.14914996641822087,16,30,1365,133
10,0.3,0.348993288590604,0.9612903225806452,0.49056603773584906,0.6551418055856246,0.4078431372549019,0.3623320069903772,52,54,1341,97
10,0.4,0.3691275167785235,0.9491039426523298,0.4365079365079365,0.6591157297154266,0.39999999999999997,0.34324163382762096,55,71,1324,94
10,0.5,0.2214765100671141,0.9369175627240144,0.2727272727272727,0.5791970363955643,0.24444444444444444,0.1740299633742356,33,88,1307,116
10,0.6,0.2080536912751678,0.9247311827956989,0.22794117647058823,0.5663924370354333,0.2175438596491228,0.13834327816941275,31,105,1290,118
10,0.7,0.2214765100671141,0.9405017921146953,0.28448275862068967,0.5809891510909047,0.24905660377358488,0.18144457264877012,33,83,1312,116
10,0.8,0.1610738255033557,0.9311827956989247,0.2,0.5461283106011402,0.17843866171003717,0.10174947225425768,24,96,1299,125
10,0.9,0.1610738255033557,0.9347670250896057,0.20869565217391303,0.5479204252964807,0.1818181818181818,0.1077868705377619,24,91,1304,125
10,1.0,0.15436241610738255,0.9455197132616487,0.23232323232323232,0.5499410646845156,0.18548387096774194,0.12039723400346283,23,76,1319,126
15,0.1,0.10067114093959731,0.992831541218638,0.6,0.5467513410791177,0.1724137931034483,0.218753704168487,15,10,1385,134
15,0.2,0.174496644295302,0.9763440860215054,0.4406779661016949,0.5754203651584037,0.25,0.2323323214031997,26,33,1362,123
15,0.3,0.2684563758389262,0.9505376344086022,0.3669724770642202,0.6094970051237641,0.31007751937984496,0.2524487792957871,40,69,1326,109
15,0.4,0.4161073825503356,0.9519713261648746,0.4806201550387597,0.6840393543576051,0.4460431654676259,0.39277863779085964,62,67,1328,87
15,0.5,0.3959731543624161,0.9362007168458781,0.39864864864864863,0.6660869356041471,0.3973063973063973,0.33317479489061885,59,89,1306,90
15,0.6,0.18791946308724833,0.942652329749104,0.25925925925925924,0.5652858964181762,0.2178988326848249,0.15116126149941236,28,80,1315,121
15,0.7,0.19463087248322147,0.9297491039426523,0.2283464566929134,0.5621899882129369,0.2101449275362319,0.13367307005888435,29,98,1297,120
15,0.8,0.19463087248322147,0.9254480286738351,0.21804511278195488,0.5600394505785283,0.20567375886524822,0.12637396614071258,29,104,1291,120
15,0.9,0.2080536912751678,0.9362007168458781,0.25833333333333336,0.572127204060523,0.23048327137546473,0.15909763120941084,31,89,1306,118
15,1.0,0.16778523489932887,0.9297491039426523,0.2032520325203252,0.5487671694209906,0.18382352941176472,0.10636241453132358,25,98,1297,124
20,0.1,0.11409395973154363,0.9792114695340501,0.3695652173913043,0.5466527146327969,0.17435897435897438,0.16205122961988658,17,29,1366,132
20,0.2,0.12751677852348994,0.9741935483870968,0.34545454545454546,0.5508551634552934,0.18627450980392157,0.16203789569482754,19,36,1359,130
20,0.3,0.2684563758389262,0.9670250896057347,0.46511627906976744,0.6177407327223304,0.3404255319148936,0.3031858861518253,40,46,1349,109
20,0.4,0.3691275167785235,0.9433691756272401,0.41044776119402987,0.6562483462028819,0.38869257950530045,0.32776585385215795,55,79,1316,94
20,0.5,0.26174496644295303,0.942652329749104,0.3277310924369748,0.6021986480960285,0.291044776119403,0.22629474645503983,39,80,1315,110
20,0.6,0.30201342281879195,0.9469534050179211,0.37815126050420167,0.6244834139183566,0.33582089552238803,0.2756390922514265,45,74,1321,104
20,0.7,0.18791946308724833,0.9232974910394265,0.2074074074074074,0.5556084770633374,0.1971830985915493,0.11625960797443961,28,107,1288,121
20,0.8,0.24161073825503357,0.9369175627240144,0.2903225806451613,0.589264150489524,0.26373626373626374,0.19396898585464858,36,88,1307,113
20,0.9,0.20134228187919462,0.9297491039426523,0.234375,0.5655456929109235,0.21660649819494585,0.14038405442881052,30,98,1297,119
20,1.0,0.174496644295302,0.9333333333333333,0.2184873949579832,0.5539149888143177,0.1940298507462687,0.11938199722953531,26,93,1302,123
25,0.1,0.04697986577181208,0.9935483870967742,0.4375,0.5202641264342931,0.08484848484848485,0.1181725077194383,7,9,1386,142
25,0.2,0.1610738255033557,0.9627240143369176,0.3157894736842105,0.5618989199201366,0.21333333333333332,0.16897539906801087,24,52,1343,125
25,0.3,0.33557046979865773,0.9591397849462365,0.4672897196261682,0.6473551273724472,0.390625,0.34265353211283367,50,57,1338,99
25,0.4,0.18120805369127516,0.9383512544802868,0.23893805309734514,0.559779654085781,0.20610687022900762,0.13555158268648598,27,86,1309,122
25,0.5,0.3221476510067114,0.9483870967741935,0.4,0.6352673738904524,0.35687732342007433,0.2983717315290685,48,72,1323,101
25,0.6,0.16778523489932887,0.9304659498207886,0.20491803278688525,0.5491255923600588,0.1845018450184502,0.10754452861199806,25,97,1298,124
25,0.7,0.2550335570469799,0.9268817204301075,0.2714285714285714,0.5909576387385437,0.2629757785467128,0.18706900637446094,38,102,1293,111
25,0.8,0.20134228187919462,0.9311827956989247,0.23809523809523808,0.5662625387890596,0.21818181818181817,0.1429403750100633,30,96,1299,119
25,0.9,0.3087248322147651,0.9390681003584229,0.3511450381679389,0.623896466286594,0.3285714285714286,0.2625804720537938,46,85,1310,103
25,1.0,0.174496644295302,0.9326164874551971,0.21666666666666667,0.5535565658752496,0.19330855018587362,0.11813466052715858,26,94,1301,123
