global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.39751552795031053,0.9846256684491979,0.735632183908046,0.6910705981997542,0.5161290322580646,0.5074498648970638,64,23,1473,97
5,0.2,0.36024844720496896,0.9752673796791443,0.6105263157894737,0.6677579134420566,0.453125,0.42745404267339737,58,37,1459,103
5,0.3,0.4720496894409938,0.9532085561497327,0.5205479452054794,0.7126291227953632,0.495114006514658,0.4443475785908044,76,70,1426,85
5,0.4,0.5031055900621118,0.9505347593582888,0.5225806451612903,0.7268201747102003,0.5126582278481013,0.4614127549352718,81,74,1422,80
5,0.5,0.4782608695652174,0.9625668449197861,0.5789473684210527,0.7204138572425017,0.5238095238095238,0.48053975347102595,77,56,1440,84
5,0.6,0.4409937888198758,0.9405080213903744,0.44375,0.690750905105125,0.44236760124610597,0.3825643053226947,71,89,1407,90
5,0.7,0.37267080745341613,0.9231283422459893,0.34285714285714286,0.6478995748497027,0.35714285714285715,0.28505753798615896,60,115,1381,101
5,0.8,0.36645962732919257,0.928475935828877,0.35542168674698793,0.6474677815790348,0.36085626911314983,0.2909464159847574,59,107,1389,102
5,0.9,0.36645962732919257,0.928475935828877,0.35542168674698793,0.6474677815790348,0.36085626911314983,0.2909464159847574,59,107,1389,102
5,1.0,0.36645962732919257,0.928475935828877,0.35542168674698793,0.6474677815790348,0.36085626911314983,0.2909464159847574,59,107,1389,102
10,0.1,0.38509316770186336,0.9712566844919787,0.5904761904761905,0.678174926096921,0.4661654135338346,0.43322629619057557,62,43,1453,99
10,0.2,0.36645962732919257,0.9665775401069518,0.5412844036697247,0.6665185837180723,0.43703703703703706,0.3978988754612171,59,50,1446,102
10,0.3,0.42857142857142855,0.9652406417112299,0.5702479338842975,0.6969060351413292,0.48936170212765956,0.4483110720148218,69,52,1444,92
10,0.4,0.45962732919254656,0.9585561497326203,0.5441176470588235,0.7090917394625834,0.4983164983164982,0.45124410857639946,74,62,1434,87
10,0.5,0.42857142857142855,0.9438502673796791,0.45098039215686275,0.6862108479755539,0.43949044585987257,0.3810167556784957,69,84,1412,92
10,0.6,0.4906832298136646,0.9351604278074866,0.44886363636363635,0.7129218288105756,0.46884272997032633,0.4093502453246568,79,97,1399,82
10,0.7,0.4906832298136646,0.9251336898395722,0.41361256544502617,0.7079084598266184,0.44886363636363635,0.3856534517894906,79,112,1384,82
10,0.8,0.5279503105590062,0.93048128342246,0.4497354497354497,0.7292157969907331,0.48571428571428565,0.4271292817490808,85,104,1392,76
10,0.9,0.5279503105590062,0.93048128342246,0.4497354497354497,0.7292157969907331,0.48571428571428565,0.4271292817490808,85,104,1392,76
10,1.0,0.5279503105590062,0.93048128342246,0.4497354497354497,0.7292157969907331,0.48571428571428565,0.4271292817490808,85,104,1392,76
15,0.1,0.4906832298136646,0.9899732620320856,0.8404255319148937,0.740328245922875,0.6196078431372549,0.6154179104530588,79,15,1481,82
15,0.2,0.515527950310559,0.983957219251337,0.7757009345794392,0.749742584780948,0.6194029850746268,0.6019266816742648,83,24,1472,78
15,0.3,0.42857142857142855,0.9545454545454546,0.5036496350364964,0.6915584415584416,0.4630872483221477,0.41202915540811774,69,68,1428,92
15,0.4,0.4409937888198758,0.9411764705882353,0.44654088050314467,0.6910851297040556,0.44375000000000003,0.38430952906962956,71,88,1408,90
