global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.27120181405895694,0.9758682290247374,0.20006691201070592,0.6235350215418471,0.23026569118213325,0.21305242863403345,598,2391,96690,1607
5,0.2,0.2562358276643991,0.9781290055611066,0.2068081991215227,0.6171824166127529,0.22888393761393563,0.2111127475200339,565,2167,96914,1640
5,0.3,0.22040816326530613,0.9815403558704494,0.2099352051835853,0.6009742595678778,0.2150442477876106,0.19720171316580482,486,1829,97252,1719
5,0.4,0.19047619047619047,0.9847094801223242,0.21705426356589147,0.5875928352992573,0.20289855072463767,0.18675466601782878,420,1515,97566,1785
5,0.5,0.16870748299319727,0.9898265055863384,0.26956521739130435,0.5792669942897679,0.20753138075313804,0.1995659964579796,372,1008,98073,1833
5,0.6,0.12018140589569161,0.9942875021447098,0.31889290012033694,0.5572344540202008,0.17457180500658762,0.1851828384257003,265,566,98515,1940
5,0.7,0.08163265306122448,0.9960941048233264,0.31746031746031744,0.5388633789422754,0.12987012987012986,0.15202772911732693,180,387,98694,2025
5,0.8,0.06394557823129252,0.9969822670340428,0.32045454545454544,0.5304639226326676,0.10661625708884688,0.13519468873824886,141,299,98782,2064
5,0.9,0.042630385487528344,0.9976282031872912,0.2857142857142857,0.5201292943374097,0.07419100236779795,0.10325042930916578,94,235,98846,2111
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,99081,2205
10,0.1,0.2839002267573696,0.9760498985678384,0.20873624541513838,0.629975062662604,0.24058416602613375,0.22379647724761378,626,2373,96708,1579
10,0.2,0.2530612244897959,0.978058356294345,0.2042459736456808,0.6155597903920704,0.22604820741340895,0.20818946696695967,558,2174,96907,1647
10,0.3,0.24444444444444444,0.9812577588034033,0.22495826377295491,0.6128511016239239,0.2342968919800043,0.2167283330952586,539,1857,97224,1666
10,0.4,0.23900226757369614,0.983367144053855,0.24229885057471265,0.6111847058137756,0.2406392694063927,0.22386385324984834,527,1648,97433,1678
10,0.5,0.21950113378684807,0.989019085394778,0.30788804071246817,0.604260109590813,0.25628805930632775,0.24617464498313987,484,1088,97993,1721
10,0.6,0.1564625850340136,0.9920368183607352,0.30423280423280424,0.5742497016973744,0.20664869721473494,0.20596235826438838,345,789,98292,1860
10,0.7,0.11292517006802721,0.9945196354497835,0.3143939393939394,0.5537224027589054,0.16616616616616617,0.17801321930687355,249,543,98538,1956
10,0.8,0.08117913832199547,0.997123565567566,0.3857758620689655,0.5391513519447807,0.13413263394529787,0.16921528982375741,179,285,98796,2026
10,0.9,0.047165532879818596,0.999121930541678,0.5445026178010471,0.5231437317107482,0.08681135225375626,0.15569739537462673,104,87,98994,2101
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,99081,2205
15,0.1,0.27165532879818594,0.9754544261765626,0.19762454635433852,0.6235548774873743,0.22880061115355235,0.2116503930755412,599,2432,96649,1606
15,0.2,0.2675736961451247,0.9774729766554637,0.2090715804394047,0.6225233364002942,0.23473244479809033,0.2172856550321482,590,2232,96849,1615
