global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.22278481012658227,0.9849143789073118,0.31178033658104515,0.6038495945169471,0.25987449243263194,0.24463762487119786,352,777,50729,1228
5,0.2,0.18860759493670887,0.9875742631926377,0.31769722814498935,0.5880909290646733,0.23669579030976967,0.22724712299029795,298,640,50866,1282
5,0.3,0.14873417721518986,0.9921562536403525,0.3677621283255086,0.5704452154277712,0.21180712032447047,0.21954734914832424,235,404,51102,1345
5,0.4,0.11962025316455696,0.9954374247660467,0.44575471698113206,0.5575288389653018,0.18862275449101795,0.2196551840814025,189,235,51271,1391
5,0.5,0.07088607594936709,0.9973983613559585,0.45528455284552843,0.5341422186526628,0.12267250821467691,0.17085599903093707,112,134,51372,1468
5,0.6,0.056329113924050635,0.9984467828990797,0.5266272189349113,0.5273879484115652,0.10177244139508292,0.16523650189682282,89,80,51426,1491
5,0.7,0.035443037974683546,0.9990486545256864,0.5333333333333333,0.517245846250185,0.06646884272997033,0.13192200271160875,56,49,51457,1524
5,0.8,0.017721518987341773,0.9994563740146779,0.5,0.5085889465010098,0.03422982885085575,0.08992335905462036,28,28,51478,1552
5,0.9,0.00949367088607595,0.9998640935036694,0.6818181818181818,0.5046788821948727,0.018726591760299626,0.07813007280090764,15,7,51499,1565
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
10,0.1,0.20569620253164558,0.9851861918999728,0.29871323529411764,0.5954411972158092,0.24362818590704652,0.22893677562552095,325,763,50743,1255
10,0.2,0.1962025316455696,0.988622684735759,0.34598214285714285,0.5924126081906643,0.2504038772213247,0.24382095348583452,310,586,50920,1270
10,0.3,0.1620253164556962,0.9918650254339301,0.37925925925925924,0.5769451709448131,0.22705099778270507,0.23340261111486055,256,419,51087,1324
10,0.4,0.1189873417721519,0.9945054945054945,0.3991507430997877,0.5567464181388232,0.18332520721599221,0.2056651297193628,188,283,51223,1392
10,0.5,0.0759493670886076,0.997145963577059,0.449438202247191,0.5365476653328333,0.12994044396318358,0.17558862271386405,120,147,51359,1460
10,0.6,0.05949367088607595,0.9981555546926572,0.4973544973544973,0.5288246127893665,0.10627473148671565,0.16447674765631384,94,95,51411,1486
10,0.7,0.043670886075949364,0.9989321632431173,0.5564516129032258,0.5213015246595333,0.08098591549295774,0.14997024779917997,69,55,51451,1511
10,0.8,0.018354430379746836,0.9996311109385314,0.6041666666666666,0.5089927706591392,0.03562653562653563,0.10168731508882174,29,19,51487,1551
10,0.9,0.010759493670886076,0.9999611695724769,0.8947368421052632,0.5053603316216815,0.021263289555972485,0.09631413767282718,17,2,51504,1563
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
15,0.1,0.21012658227848102,0.9847202267696967,0.2966934763181412,0.5974234045240889,0.24601704334938865,0.23050050793336166,332,787,50719,1248
15,0.2,0.1759493670886076,0.9880013978953909,0.31026785714285715,0.5819753824919992,0.2245557350565428,0.21628343050688179,278,618,50888,1302
15,0.3,0.14050632911392405,0.991748534151361,0.34312210200927357,0.5661274316326426,0.1993713515940727,0.20482820784789826,222,425,51081,1358
15,0.4,0.1120253164556962,0.9940395293752184,0.365702479338843,0.5530324229154573,0.17151162790697674,0.18962915551137746,177,307,51199,1403
15,0.5,0.07658227848101266,0.9966605832330214,0.4129692832764505,0.5366214308570171,0.12920448478376934,0.16799671076530454,121,172,51334,1459
15,0.6,0.05189873417721519,0.9986021046091718,0.5324675324675324,0.5252504193931935,0.09457900807381778,0.15956459506783705,82,72,51434,1498
15,0.7,0.036075949367088606,0.9992816370908244,0.6063829787234043,0.5176787932289565,0.06810035842293907,0.14291275290591562,57,37,51469,1523
15,0.8,0.02278481012658228,0.9994757892284394,0.5714285714285714,0.5111302996775108,0.04382227632379793,0.10987322844751653,36,27,51479,1544
15,0.9,0.013924050632911392,0.9998252630761465,0.7096774193548387,0.5068746568545289,0.027312228429546864,0.09671514114775892,22,9,51497,1558
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
20,0.1,0.1879746835443038,0.9849920397623578,0.2775700934579439,0.5864833616533308,0.2241509433962264,0.20915085702524003,297,773,50733,1283
20,0.2,0.1930379746835443,0.9881761348192444,0.3336980306345733,0.5906070547513943,0.24458700882117085,0.23673235791069505,305,609,50897,1275
20,0.3,0.15759493670886077,0.991593212441269,0.3651026392961877,0.5745940745750648,0.22015915119363394,0.22512170794064665,249,433,51073,1331
20,0.4,0.10949367088607595,0.993942453306411,0.35670103092783506,0.5517180620962434,0.1675544794188862,0.18474037657183995,173,312,51194,1407
20,0.5,0.08481012658227848,0.9966799984467829,0.43934426229508194,0.5407450625145307,0.14217506631299734,0.18322035175958298,134,171,51335,1446
20,0.6,0.053164556962025315,0.9982332155477032,0.48,0.5256988862548643,0.09572649572649573,0.15237360545111509,84,91,51415,1496
20,0.7,0.04556962025316456,0.9984856133266027,0.48,0.5220276167898836,0.08323699421965318,0.1410372310868886,72,78,51428,1508
20,0.8,0.0189873417721519,0.9996505261522929,0.625,0.5093189339622224,0.03685503685503686,0.10537546325007104,30,18,51488,1550
20,0.9,0.013924050632911392,0.9997281870073389,0.6111111111111112,0.5068261188201252,0.027227722772277228,0.08911839370018416,22,14,51492,1558
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
25,0.1,0.20632911392405062,0.9847202267696967,0.29290206648697215,0.5955246703468737,0.2421091719272187,0.22660345297757392,326,787,50719,1254
25,0.2,0.1810126582278481,0.9883897021706209,0.3235294117647059,0.5847011801992346,0.23214285714285712,0.22496098707468792,286,598,50908,1294
25,0.3,0.15822784810126583,0.991399060303654,0.36075036075036077,0.5748134542024599,0.2199736031676199,0.22400819530272997,250,443,51063,1330
25,0.4,0.12848101265822784,0.9930881839009047,0.3631484794275492,0.5607845982795663,0.1898083216456288,0.20238755278353687,203,356,51150,1377
25,0.5,0.08670886075949367,0.9962916941715528,0.4176829268292683,0.5415002774655232,0.1436058700209644,0.17999372615087192,137,191,51315,1443
25,0.6,0.06329113924050633,0.997534267852289,0.44052863436123346,0.5304127035463977,0.11068068622025456,0.1584054353846601,100,127,51379,1480
25,0.7,0.05189873417721519,0.9987185958917407,0.5540540540540541,0.5253086650344779,0.09490740740740741,0.16313309141670887,82,66,51440,1498
25,0.8,0.028481012658227847,0.9993398827321088,0.569620253164557,0.5139104476951684,0.05424954792043399,0.12264459124178144,45,34,51472,1535
25,0.9,0.010126582278481013,0.999844678289908,0.6666666666666666,0.5049856302841945,0.0199501246882793,0.07970950132033472,16,8,51498,1564
25,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
