global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.2563291139240506,0.9894575389275035,0.4272151898734177,0.6228933264257771,0.3204113924050633,0.3153801809752942,405,543,50963,1175
5,0.2,0.2481012658227848,0.9945637401467791,0.5833333333333334,0.6213325029847819,0.3481349911190053,0.3688555470490427,392,280,51226,1188
5,0.3,0.22658227848101264,0.9962722789577914,0.6509090909090909,0.611427278719402,0.33615023474178407,0.3739978699983358,358,192,51314,1222
5,0.4,0.19873417721518988,0.997184794004582,0.6840958605664488,0.597959485609886,0.3079941147621383,0.35960299254768513,314,145,51361,1266
5,0.5,0.1879746835443038,0.9974371917834816,0.6923076923076923,0.5927059376638927,0.295669487307118,0.35191542201520615,297,132,51374,1283
5,0.6,0.17025316455696202,0.9978060808449501,0.7041884816753927,0.584029622700956,0.27420998980632005,0.33788304098691857,269,113,51393,1311
5,0.7,0.13544303797468354,0.9981555546926572,0.6925566343042071,0.5667992963336703,0.22657490735839067,0.2984404930451858,214,95,51411,1366
5,0.8,0.08987341772151898,0.9985632741816487,0.6574074074074074,0.5442183459515838,0.15812917594654785,0.23607957424996648,142,74,51432,1438
5,0.9,0.05822784810126582,0.9992816370908244,0.7131782945736435,0.5287547425960452,0.10766530134581627,0.19849080487584148,92,37,51469,1488
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
10,0.1,0.28417721518987343,0.988972158583466,0.4414945919370698,0.6365746868866697,0.34578359645745094,0.33861607350252476,449,568,50938,1131
10,0.2,0.2664556962025316,0.9927581252669592,0.5302267002518891,0.6296069107347454,0.35467565290648695,0.3629006386370952,421,373,51133,1159
10,0.3,0.2537974683544304,0.9947384770706326,0.5967261904761905,0.6242679727125315,0.3561278863232682,0.37777948965006836,401,271,51235,1179
10,0.4,0.2158227848101266,0.9959616355376073,0.6211293260473588,0.605892210173867,0.3203381869422264,0.35573996395697544,341,208,51298,1239
10,0.5,0.20063291139240505,0.9971265483632975,0.6817204301075269,0.5988797298778513,0.31002444987775063,0.36065229257912707,317,148,51358,1263
10,0.6,0.1639240506329114,0.9978254960587116,0.6981132075471698,0.5808747733458115,0.26550486929779604,0.32994873467195485,259,112,51394,1321
10,0.7,0.1360759493670886,0.9985438589678872,0.7413793103448276,0.5673099041674879,0.2299465240641711,0.31036083675128323,215,75,51431,1365
10,0.8,0.08734177215189873,0.9988545023880713,0.700507614213198,0.543098137269985,0.15531795160382666,0.2408963168995775,138,59,51447,1442
10,0.9,0.056962025316455694,0.9994757892284394,0.7692307692307693,0.5282189072724476,0.1060695344725987,0.2045143684921381,90,27,51479,1490
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
15,0.1,0.2981012658227848,0.9890304042247505,0.4546332046332046,0.6435658350237676,0.36009174311926606,0.35273479941700103,471,565,50941,1109
15,0.2,0.27151898734177216,0.9930493534733817,0.5451080050825922,0.632284170407577,0.3624841571609632,0.3720157015141653,429,358,51148,1151
15,0.3,0.25506329113924053,0.9943890032229254,0.5823699421965318,0.624726147181083,0.35475352112676056,0.3737241242535832,403,289,51217,1177
15,0.4,0.24240506329113923,0.9952821030559547,0.6118210862619808,0.6188435831735469,0.3472348141432457,0.37416389563717606,383,243,51263,1197
15,0.5,0.21645569620253163,0.9970877179357744,0.6951219512195121,0.6067717070691531,0.33011583011583007,0.37869797670007427,342,150,51356,1238
15,0.6,0.19556962025316454,0.9975536830660505,0.7103448275862069,0.5965616516596075,0.30669975186104215,0.3640358845369682,309,126,51380,1271
15,0.7,0.14873417721518986,0.9976701743486196,0.6619718309859155,0.5732021757819047,0.24289405684754517,0.3052560360986604,235,120,51386,1345
15,0.8,0.11455696202531646,0.9985632741816487,0.7098039215686275,0.5565601181034826,0.197275204359673,0.27802461800309464,181,74,51432,1399
15,0.9,0.05379746835443038,0.9993592979458704,0.7203389830508474,0.5265783831501504,0.10011778563015314,0.1918086628072221,85,33,51473,1495
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,51506,1580
20,0.1,0.270253164556962,0.9870112219935542,0.3895985401459854,0.6286321932752581,0.3191330343796711,0.30744818945480235,427,669,50837,1153
20,0.2,0.2588607594936709,0.9901370714091562,0.44601962922573607,0.6244989154514136,0.3275931117340809,0.32475967282945717,409,508,50998,1171
20,0.3,0.25253164556962027,0.9921562536403525,0.49688667496886674,0.6223439496049864,0.33487201007133865,0.3406684583357186,399,404,51102,1181
20,0.4,0.24050632911392406,0.994214266299072,0.56047197640118,0.617360297706498,0.3365810451727192,0.35521803970306237,380,298,51208,1200
20,0.5,0.20506329113924052,0.9968353201568749,0.6652977412731006,0.6009493056480577,0.31349782293178524,0.3598633036933877,324,163,51343,1256
20,0.6,0.18734177215189873,0.9973401157146741,0.6836027713625866,0.5923409439332864,0.29408842523596623,0.3489203118505324,296,137,51369,1284
