global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.8074534161490683,0.9605614973262032,0.6878306878306878,0.8840074567376357,0.7428571428571428,0.7155738449792306,130,59,1437,31
5,0.2,0.968944099378882,0.9893048128342246,0.9069767441860465,0.9791244561065533,0.936936936936937,0.9305283720580557,156,16,1480,5
5,0.3,0.9751552795031055,0.983957219251337,0.8674033149171271,0.9795562493772212,0.9181286549707602,0.9106800425694083,157,24,1472,4
5,0.4,0.968944099378882,0.9893048128342246,0.9069767441860465,0.9791244561065533,0.936936936936937,0.9305283720580557,156,16,1480,5
5,0.5,0.8571428571428571,0.9872994652406417,0.8789808917197452,0.9222211611917495,0.8679245283018868,0.8539909542405353,138,19,1477,23
5,0.6,0.6024844720496895,1.0,1.0,0.8012422360248448,0.751937984496124,0.7601099659758818,97,0,1496,64
5,0.7,0.5403726708074534,1.0,1.0,0.7701863354037267,0.7016129032258065,0.7175673321246254,87,0,1496,74
5,0.8,0.4658385093167702,0.9899732620320856,0.8333333333333334,0.7279058856744278,0.5976095617529881,0.5956738272733106,75,15,1481,86
5,0.9,0.36024844720496896,0.9859625668449198,0.7341772151898734,0.6731055070249443,0.4833333333333334,0.4812298627949341,58,21,1475,103
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
10,0.1,0.9751552795031055,0.983957219251337,0.8674033149171271,0.9795562493772212,0.9181286549707602,0.9106800425694083,157,24,1472,4
10,0.2,0.9565217391304348,0.9872994652406417,0.8901734104046243,0.9719106021855383,0.9221556886227545,0.9141731529060181,154,19,1477,7
10,0.3,0.9751552795031055,0.983957219251337,0.8674033149171271,0.9795562493772212,0.9181286549707602,0.9106800425694083,157,24,1472,4
10,0.4,0.9565217391304348,0.9872994652406417,0.8901734104046243,0.9719106021855383,0.9221556886227545,0.9141731529060181,154,19,1477,7
10,0.5,0.9565217391304348,0.9919786096256684,0.927710843373494,0.9742501743780516,0.9418960244648319,0.9356714194652055,154,12,1484,7
10,0.6,0.7204968944099379,0.9959893048128342,0.9508196721311475,0.8582430996113861,0.8197879858657244,0.8125544237902153,116,6,1490,45
10,0.7,0.639751552795031,1.0,1.0,0.8198757763975155,0.7803030303030303,0.7847764533372488,103,0,1496,58
10,0.8,0.577639751552795,1.0,1.0,0.7888198757763976,0.732283464566929,0.7433202403716394,93,0,1496,68
10,0.9,0.484472049689441,1.0,1.0,0.7422360248447205,0.6527196652719666,0.6774996810467848,78,0,1496,83
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
15,0.1,0.9813664596273292,0.9899732620320856,0.9132947976878613,0.9856698608297074,0.9461077844311377,0.9408272369595146,158,15,1481,3
15,0.2,0.968944099378882,0.9886363636363636,0.9017341040462428,0.9787902315076229,0.934131736526946,0.9275001949327664,156,17,1479,5
15,0.3,0.8633540372670807,0.9739304812834224,0.7808988764044944,0.9186422592752516,0.8200589970501475,0.8008620376306639,139,39,1457,22
15,0.4,0.968944099378882,0.9886363636363636,0.9017341040462428,0.9787902315076229,0.934131736526946,0.9275001949327664,156,17,1479,5
15,0.5,0.9627329192546584,1.0,1.0,0.9813664596273293,0.9810126582278481,0.979227815840739,155,0,1496,6
15,0.6,0.6708074534161491,1.0,1.0,0.8354037267080745,0.8029739776951673,0.8048946257095798,108,0,1496,53
15,0.7,0.6335403726708074,1.0,1.0,0.8167701863354038,0.7756653992395437,0.7807064150119775,102,0,1496,59
15,0.8,0.577639751552795,1.0,1.0,0.7888198757763976,0.732283464566929,0.7433202403716394,93,0,1496,68
15,0.9,0.5341614906832298,1.0,1.0,0.7670807453416149,0.6963562753036437,0.7132043639180287,86,0,1496,75
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
20,0.1,1.0,1.0,1.0,1.0,1.0,1.0,161,0,1496,0
20,0.2,0.9565217391304348,0.9872994652406417,0.8901734104046243,0.9719106021855383,0.9221556886227545,0.9141731529060181,154,19,1477,7
20,0.3,0.9565217391304348,0.9872994652406417,0.8901734104046243,0.9719106021855383,0.9221556886227545,0.9141731529060181,154,19,1477,7
20,0.4,0.782608695652174,0.9672459893048129,0.72,0.8749273424784934,0.7499999999999999,0.7226245598016171,126,49,1447,35
20,0.5,0.968944099378882,0.9933155080213903,0.9397590361445783,0.9811298037001361,0.9541284403669725,0.949244577433215,156,10,1486,5
20,0.6,0.8198757763975155,1.0,1.0,0.9099378881987578,0.9010238907849829,0.8968192103537169,132,0,1496,29
20,0.7,0.7515527950310559,1.0,1.0,0.8757763975155279,0.8581560283687943,0.8555589445856174,121,0,1496,40
20,0.8,0.7267080745341615,1.0,1.0,0.8633540372670807,0.8417266187050361,0.8402053241263877,117,0,1496,44
20,0.9,0.6024844720496895,1.0,1.0,0.8012422360248448,0.751937984496124,0.7601099659758818,97,0,1496,64
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
25,0.1,1.0,1.0,1.0,1.0,1.0,1.0,161,0,1496,0
25,0.2,1.0,1.0,1.0,1.0,1.0,1.0,161,0,1496,0
25,0.3,1.0,1.0,1.0,1.0,1.0,1.0,161,0,1496,0
25,0.4,1.0,1.0,1.0,1.0,1.0,1.0,161,0,1496,0
25,0.5,0.9751552795031055,0.983957219251337,0.8674033149171271,0.9795562493772212,0.9181286549707602,0.9106800425694083,157,24,1472,4
25,0.6,0.9192546583850931,1.0,1.0,0.9596273291925466,0.9579288025889967,0.9546388326610503,148,0,1496,13
25,0.7,0.8074534161490683,1.0,1.0,0.9037267080745341,0.8934707903780068,0.8894161608107498,130,0,1496,31
25,0.8,0.7577639751552795,1.0,1.0,0.8788819875776397,0.8621908127208481,0.8593668250263647,122,0,1496,39
25,0.9,0.6832298136645962,1.0,1.0,0.8416149068322981,0.8118081180811808,0.8128380858900841,110,0,1496,51
25,1.0,0.006211180124223602,1.0,1.0,0.5031055900621118,0.01234567901234568,0.07490704975207264,1,0,1496,160
