global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.8198757763975155,0.9538770053475936,0.6567164179104478,0.8868763908725545,0.7292817679558011,0.701943637605364,132,69,1427,29
5,0.2,0.8012422360248447,0.9578877005347594,0.671875,0.879564968279802,0.7308781869688386,0.7024661901691962,129,63,1433,32
5,0.3,0.7639751552795031,0.9612299465240641,0.6795580110497238,0.8626025509017836,0.7192982456140351,0.688584304593774,123,58,1438,38
5,0.4,0.7453416149068323,0.9672459893048129,0.7100591715976331,0.8562938021058226,0.7272727272727272,0.6973843227804348,120,49,1447,41
5,0.5,0.5527950310559007,0.9866310160427807,0.8165137614678899,0.7697130235493407,0.6592592592592593,0.6444836748625323,89,20,1476,72
5,0.6,0.484472049689441,0.9879679144385026,0.8125,0.7362199820639719,0.6070038910505837,0.598946862950555,78,18,1478,83
5,0.7,0.484472049689441,0.9979946524064172,0.9629629629629629,0.7412333510479291,0.6446280991735537,0.6627129607610418,78,3,1493,83
5,0.8,0.43478260869565216,0.9979946524064172,0.958904109589041,0.7163886305510346,0.5982905982905982,0.6246031212950541,70,3,1493,91
5,0.9,0.36024844720496896,0.9979946524064172,0.9508196721311475,0.6791215498056931,0.5225225225225225,0.5634757206227257,58,3,1493,103
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
10,0.1,0.8509316770186336,0.9766042780748663,0.7965116279069767,0.91376797754675,0.8228228228228228,0.8035967224154917,137,35,1461,24
10,0.2,0.8509316770186336,0.9799465240641712,0.8203592814371258,0.9154391005414024,0.8353658536585366,0.8174566477584521,137,30,1466,24
10,0.3,0.8322981366459627,0.981951871657754,0.8322981366459627,0.9071250041518584,0.8322981366459627,0.8142500083037167,134,27,1469,27
10,0.4,0.8198757763975155,0.9959893048128342,0.9565217391304348,0.9079325406051748,0.882943143812709,0.8745379305670296,132,6,1490,29
10,0.5,0.782608695652174,0.9959893048128342,0.9545454545454546,0.8892990002325041,0.8600682593856656,0.8516676111936504,126,6,1490,35
10,0.6,0.6832298136645962,0.9959893048128342,0.9482758620689655,0.8396095592387152,0.7942238267148014,0.7884212527063011,110,6,1490,51
10,0.7,0.577639751552795,1.0,1.0,0.7888198757763976,0.732283464566929,0.7433202403716394,93,0,1496,68
10,0.8,0.577639751552795,1.0,1.0,0.7888198757763976,0.732283464566929,0.7433202403716394,93,0,1496,68
10,0.9,0.42857142857142855,1.0,1.0,0.7142857142857143,0.6,0.6354072342714707,69,0,1496,92
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
15,0.1,0.8881987577639752,0.9786096256684492,0.8171428571428572,0.9334041917162121,0.8511904761904763,0.8353312169359017,143,32,1464,18
15,0.2,0.8695652173913043,0.9806149732620321,0.8284023668639053,0.9250900953266682,0.8484848484848484,0.8320413279656498,140,29,1467,21
15,0.3,0.8695652173913043,0.9852941176470589,0.8641975308641975,0.9274296675191815,0.8668730650154798,0.8525017706886768,140,22,1474,21
15,0.4,0.8695652173913043,0.9939839572192514,0.9395973154362416,0.9317745873052778,0.903225806451613,0.8940709893766451,140,9,1487,21
15,0.5,0.8571428571428571,0.9959893048128342,0.9583333333333334,0.9265660809778457,0.9049180327868852,0.8970039166002219,138,6,1490,23
15,0.6,0.6708074534161491,1.0,1.0,0.8354037267080745,0.8029739776951673,0.8048946257095798,108,0,1496,53
15,0.7,0.6024844720496895,1.0,1.0,0.8012422360248448,0.751937984496124,0.7601099659758818,97,0,1496,64
15,0.8,0.6024844720496895,1.0,1.0,0.8012422360248448,0.751937984496124,0.7601099659758818,97,0,1496,64
15,0.9,0.4782608695652174,1.0,1.0,0.7391304347826086,0.6470588235294118,0.6729296711562879,77,0,1496,84
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
20,0.1,0.8757763975155279,0.9792780748663101,0.8197674418604651,0.927527236190919,0.8468468468468469,0.830319174971821,141,31,1465,20
20,0.2,0.8695652173913043,0.983957219251337,0.8536585365853658,0.9267612183213206,0.8615384615384616,0.8465290161469184,140,24,1472,21
20,0.3,0.8695652173913043,0.983957219251337,0.8536585365853658,0.9267612183213206,0.8615384615384616,0.8465290161469184,140,24,1472,21
20,0.4,0.8695652173913043,0.983957219251337,0.8536585365853658,0.9267612183213206,0.8615384615384616,0.8465290161469184,140,24,1472,21
20,0.5,0.8198757763975155,0.9933155080213903,0.9295774647887324,0.906595642209453,0.8712871287128713,0.860440732863608,132,10,1486,29
20,0.6,0.7515527950310559,1.0,1.0,0.8757763975155279,0.8581560283687943,0.8555589445856174,121,0,1496,40
20,0.7,0.7142857142857143,1.0,1.0,0.8571428571428572,0.8333333333333333,0.8324527494921938,115,0,1496,46
20,0.8,0.6521739130434783,1.0,1.0,0.8260869565217391,0.7894736842105263,0.7928693868694219,105,0,1496,56
20,0.9,0.6273291925465838,1.0,1.0,0.8136645962732919,0.7709923664122137,0.7766203196250766,101,0,1496,60
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
25,0.1,0.9006211180124224,0.9812834224598931,0.838150289017341,0.9409522702361577,0.8682634730538921,0.854201463785651,145,28,1468,16
25,0.2,0.9006211180124224,0.9852941176470589,0.8682634730538922,0.9429576178297406,0.8841463414634148,0.8716046440941175,145,22,1474,16
25,0.3,0.9006211180124224,0.9852941176470589,0.8682634730538922,0.9429576178297406,0.8841463414634148,0.8716046440941175,145,22,1474,16
25,0.4,0.9006211180124224,0.9893048128342246,0.9006211180124224,0.9449629654233235,0.9006211180124224,0.889925930846647,145,16,1480,16
25,0.5,0.9006211180124224,0.9939839572192514,0.9415584415584416,0.9473025376158368,0.9206349206349206,0.9125785188816603,145,9,1487,16
25,0.6,0.8322981366459627,0.9939839572192514,0.9370629370629371,0.9131410469326071,0.881578947368421,0.8715175154822006,134,9,1487,27
25,0.7,0.7701863354037267,0.9939839572192514,0.9323308270676691,0.882085146311489,0.8435374149659864,0.8330107022783838,124,9,1487,37
25,0.8,0.6832298136645962,1.0,1.0,0.8416149068322981,0.8118081180811808,0.8128380858900841,110,0,1496,51
25,0.9,0.6832298136645962,1.0,1.0,0.8416149068322981,0.8118081180811808,0.8128380858900841,110,0,1496,51
25,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1496,161
