global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.1989795918367347,0.9982308399971693,0.7572815533980582,0.598605215916952,0.3151515151515152,0.38085365098619395,78,25,14106,314
5,0.2,0.3392857142857143,0.9975939423961503,0.7964071856287425,0.6684398283409323,0.4758497316636851,0.512069969348625,133,34,14097,259
5,0.3,0.4897959183673469,0.994692519991508,0.7191011235955056,0.7422442191794274,0.582701062215478,0.5844648873508991,192,75,14056,200
5,0.4,0.5535714285714286,0.990305003184488,0.6129943502824858,0.7719382158779583,0.581769436997319,0.5715556077402387,217,137,13994,175
5,0.5,0.548469387755102,0.9869789823791664,0.5388471177944862,0.7677241850671341,0.5436156763590392,0.5308621728923737,215,184,13947,177
5,0.6,0.5561224489795918,0.9867666831788267,0.5382716049382716,0.7714445660792093,0.547051442910916,0.5343508802183606,218,187,13944,174
5,0.7,0.5561224489795918,0.9867666831788267,0.5382716049382716,0.7714445660792093,0.547051442910916,0.5343508802183606,218,187,13944,174
5,0.8,0.5561224489795918,0.9867666831788267,0.5382716049382716,0.7714445660792093,0.547051442910916,0.5343508802183606,218,187,13944,174
5,0.9,0.5561224489795918,0.9867666831788267,0.5382716049382716,0.7714445660792093,0.547051442910916,0.5343508802183606,218,187,13944,174
5,1.0,0.5561224489795918,0.9867666831788267,0.5382716049382716,0.7714445660792093,0.547051442910916,0.5343508802183606,218,187,13944,174
10,0.1,0.17857142857142858,0.99780624159649,0.693069306930693,0.5881888350839592,0.2839756592292089,0.34395343479330454,70,31,14100,322
10,0.2,0.32653061224489793,0.994055622390489,0.6037735849056604,0.6602931173176935,0.42384105960264895,0.43318302628425953,128,84,14047,264
10,0.3,0.4107142857142857,0.9910126671856203,0.5590277777777778,0.7008634764499531,0.47352941176470587,0.4669662281525205,161,127,14004,231
10,0.4,0.41581632653061223,0.9869789823791664,0.4697406340057637,0.7013976544548893,0.4411366711772665,0.42743718006609177,163,184,13947,229
10,0.5,0.4362244897959184,0.9835821951737315,0.42431761786600497,0.7099033424848249,0.43018867924528303,0.4141989181794605,171,232,13899,221
10,0.6,0.461734693877551,0.9825914655721464,0.4238875878220141,0.7221630797248487,0.442002442002442,0.426254995249758,181,246,13885,211
10,0.7,0.461734693877551,0.9825914655721464,0.4238875878220141,0.7221630797248487,0.442002442002442,0.426254995249758,181,246,13885,211
10,0.8,0.461734693877551,0.9825914655721464,0.4238875878220141,0.7221630797248487,0.442002442002442,0.426254995249758,181,246,13885,211
10,0.9,0.461734693877551,0.9825914655721464,0.4238875878220141,0.7221630797248487,0.442002442002442,0.426254995249758,181,246,13885,211
10,1.0,0.461734693877551,0.9825914655721464,0.4238875878220141,0.7221630797248487,0.442002442002442,0.426254995249758,181,246,13885,211
15,0.1,0.18877551020408162,0.9978770079966032,0.7115384615384616,0.5933262591003424,0.2983870967741935,0.35873941424145644,74,30,14101,318
15,0.2,0.34183673469387754,0.9946217535913948,0.638095238095238,0.6682292441426362,0.44518272425249167,0.45675781631942547,134,76,14055,258
15,0.3,0.41581632653061223,0.9915080319864128,0.5759717314487632,0.7036621792585125,0.482962962962963,0.4775530812204962,163,120,14011,229
15,0.4,0.4005102040816326,0.9891727407826764,0.5064516129032258,0.6948414724321545,0.44729344729344733,0.4369353227064866,157,153,13978,235
15,0.5,0.41581632653061223,0.9876866463802987,0.4836795252225519,0.7017514864554555,0.44718792866941015,0.43434146550390323,163,174,13957,229
15,0.6,0.41581632653061223,0.9872620479796193,0.4752186588921283,0.7015391872551158,0.4435374149659864,0.4301637453292559,163,180,13951,229
15,0.7,0.41581632653061223,0.9872620479796193,0.4752186588921283,0.7015391872551158,0.4435374149659864,0.4301637453292559,163,180,13951,229
15,0.8,0.41581632653061223,0.9872620479796193,0.4752186588921283,0.7015391872551158,0.4435374149659864,0.4301637453292559,163,180,13951,229
15,0.9,0.41581632653061223,0.9872620479796193,0.4752186588921283,0.7015391872551158,0.4435374149659864,0.4301637453292559,163,180,13951,229
15,1.0,0.41581632653061223,0.9872620479796193,0.4752186588921283,0.7015391872551158,0.4435374149659864,0.4301637453292559,163,180,13951,229
20,0.1,0.12244897959183673,0.9980893071969429,0.64,0.5602691433943898,0.20556745182012845,0.27253356552095065,48,27,14104,344
20,0.2,0.336734693877551,0.9951171183921874,0.6567164179104478,0.6659259061348692,0.4451939291736931,0.4603348047086119,132,69,14062,260
20,0.3,0.37755102040816324,0.9930648927889039,0.6016260162601627,0.6853079565985336,0.4639498432601881,0.46544408030612666,148,98,14033,244
20,0.4,0.41836734693877553,0.9897388719835822,0.5307443365695793,0.7040531094611788,0.46790299572039945,0.45831629585504613,164,145,13986,228
20,0.5,0.4336734693877551,0.9857759535772416,0.4582210242587601,0.7097247114824983,0.4456094364351245,0.4308372232785356,170,201,13930,222
20,0.6,0.4336734693877551,0.985280588776449,0.4497354497354497,0.709477029082102,0.44155844155844154,0.42643074334652953,170,208,13923,222
20,0.7,0.4336734693877551,0.985280588776449,0.4497354497354497,0.709477029082102,0.44155844155844154,0.42643074334652953,170,208,13923,222
20,0.8,0.4336734693877551,0.985280588776449,0.4497354497354497,0.709477029082102,0.44155844155844154,0.42643074334652953,170,208,13923,222
20,0.9,0.4336734693877551,0.985280588776449,0.4497354497354497,0.709477029082102,0.44155844155844154,0.42643074334652953,170,208,13923,222
20,1.0,0.4336734693877551,0.985280588776449,0.4497354497354497,0.709477029082102,0.44155844155844154,0.42643074334652953,170,208,13923,222
25,0.1,0.22704081632653061,0.9974524095959239,0.712,0.6122466129612272,0.344294003868472,0.3938461743699047,89,36,14095,303
25,0.2,0.34438775510204084,0.9939848559903758,0.6136363636363636,0.6691863055462083,0.44117647058823534,0.44895185945802857,135,85,14046,257
25,0.3,0.4005102040816326,0.9904465359847144,0.5376712328767124,0.6954783700331735,0.4590643274853801,0.45138700436982915,157,135,13996,235
25,0.4,0.42346938775510207,0.9890312079824499,0.5171339563862928,0.706250297868776,0.4656381486676017,0.4547019235694733,166,155,13976,226
25,0.5,0.413265306122449,0.9862005519779209,0.453781512605042,0.6997329290501849,0.4325767690253672,0.4180723267747241,162,195,13936,230
25,0.6,0.413265306122449,0.9862005519779209,0.453781512605042,0.6997329290501849,0.4325767690253672,0.4180723267747241,162,195,13936,230
25,0.7,0.413265306122449,0.9862005519779209,0.453781512605042,0.6997329290501849,0.4325767690253672,0.4180723267747241,162,195,13936,230
25,0.8,0.413265306122449,0.9862005519779209,0.453781512605042,0.6997329290501849,0.4325767690253672,0.4180723267747241,162,195,13936,230
25,0.9,0.413265306122449,0.9862005519779209,0.453781512605042,0.6997329290501849,0.4325767690253672,0.4180723267747241,162,195,13936,230
