global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.5117540687160941,0.9805985242892993,0.3533083645443196,0.7461762965026967,0.41802067946824223,0.41100678088783604,283,518,26181,270
5,0.2,0.5027124773960217,0.9774523390389153,0.3159090909090909,0.7400824082174684,0.38799720865317516,0.3829900825414476,278,602,26097,275
5,0.3,0.484629294755877,0.9688752387729878,0.24385805277525022,0.7267522667644324,0.324455205811138,0.3250364702667019,268,831,25868,285
5,0.4,0.4050632911392405,0.963781415034271,0.18807724601175482,0.6844223530867557,0.2568807339449541,0.2543912674590427,224,967,25732,329
5,0.5,0.36528028933092227,0.9587999550544964,0.15514592933947774,0.6620401221927094,0.21778975741239892,0.21423402522379878,202,1100,25599,351
5,0.6,0.3453887884267631,0.9565152252893366,0.14127218934911243,0.6509520068580499,0.2005249343832021,0.19603820728191776,191,1161,25538,362
5,0.7,0.3037974683544304,0.9525450391400427,0.11707317073170732,0.6281712537472366,0.16901408450704228,0.16182732436131994,168,1267,25432,385
5,0.8,0.298372513562387,0.9523203116221581,0.11474269819193324,0.6253464125922725,0.16574585635359115,0.15810473336127712,165,1273,25426,388
5,0.9,0.32368896925858953,0.9538184950747219,0.12677053824362605,0.6387537321666558,0.1821882951653944,0.17653106019999285,179,1233,25466,374
5,1.0,0.32007233273056057,0.9523952207947863,0.12223756906077347,0.6362337767626735,0.17691154422788605,0.17127621540720342,177,1271,25428,376
10,0.1,0.5533453887884268,0.9870032585490093,0.4686064318529862,0.770174323668718,0.5074626865671641,0.4981898632005215,306,347,26352,247
10,0.2,0.6094032549728752,0.9801490692535301,0.3886966551326413,0.7947761621132026,0.47464788732394364,0.47363558173076237,337,530,26169,216
10,0.3,0.4810126582278481,0.9695868759129556,0.24675324675324675,0.7252997670704018,0.3261802575107296,0.3259540430220371,266,812,25887,287
10,0.4,0.4177215189873418,0.9611595939922843,0.18217665615141956,0.6894405564898131,0.2537067545304778,0.2536298642420707,231,1037,25662,322
10,0.5,0.3960216998191682,0.9553166785272856,0.15509915014164305,0.6756691891732269,0.22290076335877862,0.22349718256209336,219,1193,25506,334
10,0.6,0.34900542495479203,0.9533690400389527,0.13421418636995827,0.6511872324968724,0.1938724259166248,0.19069885278089752,193,1245,25454,360
10,0.7,0.3182640144665461,0.951870856586389,0.12046543463381246,0.6350674355264676,0.17477656405163852,0.1690952913929586,176,1285,25414,377
10,0.8,0.325497287522604,0.9505599460653957,0.12,0.6380286167939999,0.17535314174378958,0.170670351723852,180,1320,25379,373
10,0.9,0.31464737793851716,0.9542304955241769,0.12464183381088825,0.634438936731347,0.17855310415597744,0.17196566730646118,174,1222,25477,379
10,1.0,0.31645569620253167,0.9504475823064534,0.11682242990654206,0.6334516392544925,0.17064846416382254,0.16511469226324205,175,1323,25376,378
15,0.1,0.5352622061482821,0.9779767032473127,0.334841628959276,0.7566194546977973,0.4119693806541406,0.40847446183729774,296,588,26111,257
15,0.2,0.6057866184448463,0.974942881755871,0.3336653386454183,0.7903647501003586,0.43031470777135516,0.4346793273605844,335,669,26030,218
15,0.3,0.47739602169981915,0.9659537810404885,0.22506393861892582,0.7216749013701538,0.30590961761297797,0.3080080800963507,264,909,25790,289
15,0.4,0.40325497287522605,0.9616465036143675,0.17882919005613473,0.6824507382447969,0.24777777777777782,0.24622039753963945,223,1024,25675,330
15,0.5,0.379746835443038,0.9558035881493689,0.1510791366906475,0.6677752117962035,0.21616057642820383,0.21504502558086816,210,1180,25519,343
15,0.6,0.3037974683544304,0.9546424959736319,0.1218274111675127,0.6292199821640312,0.1739130434782609,0.16625097785131956,168,1211,25488,385
15,0.7,0.3345388788426763,0.9543428592831192,0.13176638176638178,0.6444408690628978,0.18906489524782832,0.1842608733967875,185,1219,25480,368
15,0.8,0.3345388788426763,0.9525824937263568,0.12749827705031014,0.6435606862845166,0.18463073852295409,0.18031157594475547,185,1266,25433,368
15,0.9,0.28028933092224234,0.9520955841042735,0.10808926080892609,0.6161924575132579,0.1560140915953699,0.14675135583511195,155,1279,25420,398
15,1.0,0.31103074141048825,0.9523203116221581,0.11903114186851212,0.6316755265163232,0.17217217217217218,0.165707604124941,172,1273,25426,381
20,0.1,0.5822784810126582,0.9808607063934979,0.3865546218487395,0.781569593703078,0.4646464646464647,0.4612592887731191,322,511,26188,231
20,0.2,0.5515370705244123,0.9763661560358066,0.32585470085470086,0.7639516132801094,0.40967092008059103,0.40871117890665737,305,631,26068,248
20,0.3,0.49909584086799275,0.9648675980373796,0.2273476112026359,0.7319817194526862,0.31239388794567063,0.3170886283920408,276,938,25761,277
20,0.4,0.45207956600361665,0.9639686879658415,0.20627062706270627,0.708024126984729,0.28328611898017,0.28456531720979683,250,962,25737,303
20,0.5,0.33273056057866185,0.9553166785272856,0.1336238198983297,0.6440236195529737,0.19067357512953367,0.18542429262368332,184,1193,25506,369
20,0.6,0.32730560578661844,0.9553541331135997,0.13182811361981064,0.6413298694501091,0.18795430944963656,0.18220697703123764,181,1192,25507,372
20,0.7,0.2911392405063291,0.9547548597325742,0.11760409057706354,0.6229470501194516,0.1675338189386056,0.15872639106594144,161,1208,25491,392
20,0.8,0.28933092224231466,0.9519083111727031,0.11080332409972299,0.6206196167075089,0.1602403605408112,0.15184385862746558,160,1284,25415,393
20,0.9,0.29475587703435807,0.9532566762800105,0.11552090715804395,0.6240062766571843,0.1659877800407332,0.1578212801876176,163,1248,25451,390
20,1.0,0.34900542495479203,0.9541181317652346,0.13610719322990128,0.6515617783600134,0.1958396752917301,0.1924402039064591,193,1225,25474,360
25,0.1,0.5533453887884268,0.9843814375070228,0.42323651452282157,0.7688634131477248,0.47962382445141066,0.4717828809211383,306,417,26282,247
25,0.2,0.5479204339963833,0.9775647027978576,0.33592017738359203,0.7627425683971205,0.4164948453608247,0.4141683629643218,303,599,26100,250
25,0.3,0.5027124773960217,0.9636690512753286,0.22275641025641027,0.7331907643356752,0.308717379233759,0.3145748756204,278,970,25729,275
25,0.4,0.4376130198915009,0.9651672347278925,0.20648464163822525,0.7013901273096967,0.28057971014492755,0.27993721398523447,242,930,25769,311
25,0.5,0.352622061482821,0.9552043147683433,0.14018691588785046,0.6539131881255822,0.2006172839506173,0.19721033508317168,195,1196,25503,358
25,0.6,0.2965641952983725,0.9534439492115809,0.11656005685856433,0.6250040722549768,0.1673469387755102,0.15930481524917176,164,1243,25456,389
25,0.7,0.2911392405063291,0.952282857035844,0.11219512195121951,0.6217110487710866,0.1619718309859155,0.15367075527463755,161,1274,25425,392
25,0.8,0.298372513562387,0.9526574028989849,0.11546536039188243,0.6255149582306859,0.16649848637739656,0.1587874165557356,165,1264,25435,388
25,0.9,0.28933092224231466,0.953481403797895,0.11412268188302425,0.6214061630201049,0.1636828644501279,0.15498030531656018,160,1242,25457,393
25,1.0,0.3453887884267631,0.9511966740327353,0.1278447121820616,0.6482927312297493,0.18661455788959452,0.18370820546740424,191,1303,25396,362
