
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_0: '2', client_1: '6', client_12: '6', client_14: '6', client_16: '8', client_2: '9', client_22: 'airplane', client_23: 'automobile', client_24: 'airplane', client_25: 'bird', client_26: 'airplane', client_27: 'truck', client_28: 'deer', client_29: 'ship', client_3: '6', client_30: 'airplane', client_31: 'ship', client_4: '6', client_5: '9', client_7: '6', client_8: '6', client_9: '6'
Global ID = 3  | from: client_11: '0', client_12: '0', client_13: 'D', client_14: '0', client_15: 'Q', client_16: '0', client_19: 'O', client_20: 'o', client_8: '0'
Global ID = 4  | from: client_11: '9', client_12: 'q', client_13: 'q', client_15: 'a', client_16: '9', client_17: '9', client_18: 'g', client_19: 'g', client_20: 'q', client_23: 'cat', client_25: 'dog', client_26: 'deer', client_31: 'frog', client_4: '8', client_9: '9'
Global ID = 5  | from: client_11: 'E', client_12: 'F', client_13: 'E', client_14: 'E', client_15: 'F', client_16: 'e', client_18: 'E', client_27: 'deer'
Global ID = 6  | from: client_1: '5', client_11: 'S', client_12: '5', client_15: '5', client_16: 'S', client_17: 'S', client_19: '5', client_4: '5', client_6: '5', client_9: '5'
Global ID = 7  | from: client_11: '3', client_12: '3', client_13: 's', client_14: '8', client_15: 'S', client_17: 'g', client_18: '3', client_2: '3', client_20: '3', client_4: '3', client_7: '3'
Global ID = 8  | from: client_11: 'I', client_13: 'i', client_15: '1', client_16: 'l', client_3: '1', client_5: '1', client_8: '1'
Global ID = 9  | from: client_11: 'n', client_13: 'n', client_19: 'n'
Global ID = 10 | from: client_11: 'T', client_12: 'T', client_14: 'T', client_15: 't', client_16: '7', client_17: '7', client_19: 't', client_6: '7', client_7: '7', client_8: '7'
Global ID = 11 | from: client_11: 'i', client_12: 'i', client_14: 'I', client_15: 'I', client_16: 'V', client_18: '1', client_19: 'i'
Global ID = 12 | from: client_11: 'B', client_12: 'B', client_15: 'B', client_17: 'B', client_18: 'B', client_20: 'A'
Global ID = 13 | from: client_11: 'k', client_16: 'k', client_17: 'k', client_20: 'K'
Global ID = 16 | from: client_11: 'U', client_12: 'U', client_13: 'U', client_18: 'U'
Global ID = 18 | from: client_12: 'W', client_14: 'W', client_16: 'w', client_17: 'w'
Global ID = 19 | from: client_12: 'c', client_14: 'c'
Global ID = 20 | from: client_12: 'C', client_15: 'C', client_16: 'C', client_17: 'C', client_18: 'e', client_20: 't'
Global ID = 21 | from: client_12: 'N', client_15: 'N'
Global ID = 22 | from: client_12: 'Z', client_15: 'z', client_16: 'Z', client_17: '2', client_19: '2', client_20: '2', client_5: '2', client_8: '2'
Global ID = 23 | from: client_12: 'b', client_13: 'L', client_18: 'b', client_19: 'L', client_20: 'L'
