global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.8571428571428571,0.8710526315789474,0.4235294117647059,0.8640977443609023,0.5669291338582677,0.5435506435874644,36,49,331,6
5,0.2,0.8571428571428571,0.8710526315789474,0.4235294117647059,0.8640977443609023,0.5669291338582677,0.5435506435874644,36,49,331,6
5,0.3,0.7380952380952381,0.8447368421052631,0.34444444444444444,0.7914160401002506,0.46969696969696967,0.4259607618274661,31,59,321,11
5,0.4,0.7380952380952381,0.8368421052631579,0.3333333333333333,0.7874686716791981,0.4592592592592593,0.41523842790644755,31,62,318,11
5,0.5,0.7380952380952381,0.8315789473684211,0.3263157894736842,0.7848370927318296,0.45255474452554745,0.40832625407603174,31,64,316,11
5,0.6,0.6666666666666666,0.8184210526315789,0.28865979381443296,0.7425438596491227,0.4028776978417266,0.3451510316727658,28,69,311,14
5,0.7,0.6666666666666666,0.8184210526315789,0.28865979381443296,0.7425438596491227,0.4028776978417266,0.3451510316727658,28,69,311,14
5,0.8,0.6666666666666666,0.8184210526315789,0.28865979381443296,0.7425438596491227,0.4028776978417266,0.3451510316727658,28,69,311,14
5,0.9,0.6666666666666666,0.8184210526315789,0.28865979381443296,0.7425438596491227,0.4028776978417266,0.3451510316727658,28,69,311,14
5,1.0,0.6666666666666666,0.8184210526315789,0.28865979381443296,0.7425438596491227,0.4028776978417266,0.3451510316727658,28,69,311,14
10,0.1,0.7380952380952381,0.8947368421052632,0.43661971830985913,0.8164160401002507,0.5486725663716815,0.5064332337049348,31,40,340,11
10,0.2,0.7619047619047619,0.8763157894736842,0.4050632911392405,0.819110275689223,0.5289256198347108,0.48980884419774684,32,47,333,10
10,0.3,0.7142857142857143,0.8894736842105263,0.4166666666666667,0.8018796992481203,0.5263157894736842,0.4804852690831879,30,42,338,12
10,0.4,0.6190476190476191,0.8657894736842106,0.33766233766233766,0.7424185463659148,0.4369747899159664,0.3758005157177622,26,51,329,16
10,0.5,0.5952380952380952,0.8368421052631579,0.28735632183908044,0.7160401002506266,0.38759689922480617,0.31974133173496355,25,62,318,17
