global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.650994575045208,0.9632945054121878,0.26865671641791045,0.8071445402286979,0.38034865293185416,0.40057144957793417,360,980,25719,193
5,0.2,0.6708860759493671,0.9667028727667702,0.29444444444444445,0.8187944743580686,0.4092664092664093,0.42810048756857116,371,889,25810,182
5,0.3,0.6256781193490054,0.9615341398554254,0.2520029133284778,0.7936061296022154,0.35929387331256496,0.3785263902160927,346,1027,25672,207
5,0.4,0.6455696202531646,0.9686505112551032,0.2989949748743719,0.8071100657541339,0.40870062965083,0.4231179079574229,357,837,25862,196
5,0.5,0.5949367088607594,0.9700363309487247,0.2914083259521701,0.782486519904742,0.3912009512485137,0.39974154914416155,329,800,25899,224
5,0.6,0.6383363471971067,0.9796247050451328,0.3935340022296544,0.8089805261211198,0.4868965517241379,0.48836376758893135,353,544,26155,200
5,0.7,0.5877034358047016,0.9815348889471516,0.3973105134474328,0.7846191623759267,0.4741064916119621,0.470377024495715,325,493,26206,228
5,0.8,0.5063291139240507,0.9882018053110604,0.47058823529411764,0.7472654596175555,0.4878048780487805,0.4771329336562674,280,315,26384,273
5,0.9,0.4213381555153707,0.9924716281508671,0.5368663594470046,0.7069048918331189,0.47213779128672745,0.4660717284722743,233,201,26498,320
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,26699,553
10,0.1,0.650994575045208,0.96258286827222,0.26490066225165565,0.806788721658714,0.3765690376569038,0.397446369960632,360,999,25700,193
10,0.2,0.6528028933092225,0.9652046893142066,0.27984496124031005,0.8090037913117145,0.3917525773195876,0.41033630091241163,361,929,25770,192
10,0.3,0.6600361663652803,0.9654668714184051,0.2836052836052836,0.8127515188918427,0.3967391304347826,0.41577277643426974,365,922,25777,188
10,0.4,0.6690777576853526,0.9688377841866737,0.30782029950083195,0.8189577709360132,0.42165242165242167,0.4380434077620418,370,832,25867,183
10,0.5,0.6347197106690777,0.972545788231769,0.3238007380073801,0.8036327494504234,0.42883323152107516,0.43811564756330956,351,733,25966,202
10,0.6,0.6419529837251357,0.9787257949735945,0.38461538461538464,0.8103393893493651,0.48102981029810304,0.4837922727970806,355,568,26131,198
10,0.7,0.6365280289330922,0.9787257949735945,0.3826086956521739,0.8076269119533434,0.4779361846571623,0.48031765254363784,352,568,26131,201
10,0.8,0.5732368896925859,0.9832203453312858,0.4143790849673203,0.7782286175119358,0.48103186646433993,0.4750012510208364,317,448,26251,236
10,0.9,0.5117540687160941,0.9905239896625342,0.5279850746268657,0.7511390291893141,0.5197428833792471,0.5100187680057153,283,253,26446,270
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,26699,553
15,0.1,0.6401446654611211,0.9634817783437581,0.26636568848758463,0.8018132219024396,0.3761955366631243,0.3951602032334244,354,975,25724,199
15,0.2,0.6347197106690777,0.9635941421027004,0.2653061224489796,0.7991569263858891,0.37420042643923246,0.3925240901147961,351,972,25727,202
15,0.3,0.6274864376130199,0.9652795984868348,0.27237048665620095,0.7963830180499274,0.3798576902025178,0.3959185086242364,347,927,25772,206
15,0.4,0.6582278481012658,0.96816360163302,0.29983525535420097,0.8131957248671429,0.41199773627617425,0.4280975373864674,364,850,25849,189
15,0.5,0.6726943942133815,0.9731450616127945,0.3415977961432507,0.822919727913088,0.4531059683313033,0.4649186053939921,372,717,25982,181
15,0.6,0.6329113924050633,0.9793999775272482,0.3888888888888889,0.8061556849661558,0.48176187198898834,0.48311924907368237,350,550,26149,203
15,0.7,0.6094032549728752,0.9823588898460617,0.41707920792079206,0.7958810724094685,0.4952240999265245,0.49191264714360744,337,471,26228,216
15,0.8,0.5497287522603979,0.9847185287838496,0.42696629213483145,0.7672236405221238,0.4806324110671937,0.4724158707133737,304,408,26291,249
15,0.9,0.47920433996383366,0.9883890782426308,0.4608695652173913,0.7337967091032322,0.4698581560283688,0.4587499564590233,265,310,26389,288
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,26699,553
20,0.1,0.6564195298372514,0.9648675980373796,0.27901614142966946,0.8106435639373155,0.39158576051779936,0.4108532454954796,363,938,25761,190
20,0.2,0.650994575045208,0.9667403273530843,0.28846153846153844,0.8088674511991462,0.39977790116601886,0.4166628996691223,360,888,25811,193
20,0.3,0.6636528028933092,0.9639312333795274,0.27593984962406015,0.8137920181364182,0.3898035050451408,0.4106973283382878,367,963,25736,186
20,0.4,0.6654611211573237,0.9696617850855838,0.31239388794567063,0.8175614531214537,0.4251877527440786,0.4403432705550929,368,810,25889,185
20,0.5,0.6311030741410488,0.9704857859844938,0.306948109058927,0.8007944300627713,0.41301775147928993,0.4242136136268007,349,788,25911,204
20,0.6,0.6582278481012658,0.9770028840031462,0.3721881390593047,0.817615366052206,0.47550620509470937,0.4815141333310125,364,614,26085,189
20,0.7,0.6039783001808319,0.9793250683546201,0.37697516930022573,0.7916516842677259,0.46421125781792916,0.46373039553842954,334,552,26147,219
20,0.8,0.5858951175406871,0.9837447095396832,0.42744063324538256,0.7848199135401852,0.49427917620137296,0.4884296732158953,324,434,26265,229
20,0.9,0.5045207956600362,0.9899621708678228,0.5100548446069469,0.7472414832639295,0.5072727272727272,0.4971316861316175,279,268,26431,274
20,1.0,0.0054249547920434,0.9999625454136859,0.75,0.5026937501028647,0.010771992818671455,0.06270469389638036,3,1,26698,550
25,0.1,0.6690777576853526,0.9659163264541744,0.2890625,0.8174970420697635,0.4037097654118931,0.4231770050926586,370,910,25789,183
25,0.2,0.6473779385171791,0.9651672347278925,0.2779503105590062,0.8062725866225358,0.3889190657251494,0.4070094132445904,358,930,25769,195
25,0.3,0.6763110307414105,0.9667403273530843,0.29635499207606975,0.8215256790472474,0.41212121212121217,0.43144248220367853,374,888,25811,179
25,0.4,0.6636528028933092,0.9659912356268024,0.28784313725490196,0.8148220192600558,0.40153172866520787,0.4203930906299447,367,908,25791,186
25,0.5,0.6564195298372514,0.966627963594142,0.2894736842105263,0.8115237467156967,0.40177089097952406,0.4192880438623338,363,891,25808,190
25,0.6,0.6112115732368897,0.9719465148507435,0.3109475620975161,0.7915790440438166,0.41219512195121955,0.42016630859333004,338,749,25950,215
25,0.7,0.6365280289330922,0.9817970710513503,0.4200477326968974,0.8091625499922213,0.5061107117181883,0.5049958901198461,352,486,26213,201
25,0.8,0.5804701627486437,0.9822465260871194,0.4037735849056604,0.7813583444178815,0.4762611275964391,0.4714612418552394,321,474,26225,232
25,0.9,0.5226039783001808,0.9859170755459006,0.4345864661654135,0.7542605269230407,0.4745484400656814,0.4647008974767662,289,376,26323,264
25,1.0,0.0018083182640144665,1.0,1.0,0.5009041591320073,0.003610108303249097,0.04209143286720863,1,0,26699,552
