global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.9523809523809523,0.8947368421052632,0.5,0.9235588972431077,0.6557377049180327,0.6469969026295213,40,40,340,2
5,0.2,1.0,0.9263157894736842,0.6,0.9631578947368421,0.7499999999999999,0.7455128930368747,42,28,352,0
5,0.3,1.0,0.9368421052631579,0.6363636363636364,0.968421052631579,0.7777777777777778,0.7721219131742265,42,24,356,0
5,0.4,1.0,0.9105263157894737,0.5526315789473685,0.9552631578947368,0.711864406779661,0.7093557609323174,42,34,346,0
5,0.5,1.0,0.9368421052631579,0.6363636363636364,0.968421052631579,0.7777777777777778,0.7721219131742265,42,24,356,0
5,0.6,0.9523809523809523,0.9631578947368421,0.7407407407407407,0.9577694235588972,0.8333333333333334,0.8204883723655428,40,14,366,2
5,0.7,1.0,0.9368421052631579,0.6363636363636364,0.968421052631579,0.7777777777777778,0.7721219131742265,42,24,356,0
5,0.8,1.0,0.9447368421052632,0.6666666666666666,0.9723684210526315,0.8,0.7936148696965731,42,21,359,0
5,0.9,1.0,0.9763157894736842,0.8235294117647058,0.9881578947368421,0.9032258064516129,0.8966742818893925,42,9,371,0
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,380,42
10,0.1,0.8809523809523809,0.8789473684210526,0.4457831325301205,0.8799498746867167,0.592,0.5723133143474209,37,46,334,5
10,0.2,0.8809523809523809,0.8763157894736842,0.44047619047619047,0.8786340852130325,0.5873015873015873,0.5677643939240463,37,47,333,5
10,0.3,0.9285714285714286,0.8947368421052632,0.4936708860759494,0.9116541353383458,0.6446280991735538,0.6318562942036514,39,40,340,3
10,0.4,0.9523809523809523,0.9263157894736842,0.5882352941176471,0.9393483709273183,0.7272727272727274,0.7154830871607101,40,28,352,2
10,0.5,0.9523809523809523,0.9263157894736842,0.5882352941176471,0.9393483709273183,0.7272727272727274,0.7154830871607101,40,28,352,2
10,0.6,0.8095238095238095,0.8789473684210526,0.425,0.8442355889724311,0.5573770491803278,0.5258285477879571,34,46,334,8
10,0.7,0.9047619047619048,0.9184210526315789,0.5507246376811594,0.9115914786967418,0.6846846846846846,0.6663477198485839,38,31,349,4
10,0.8,1.0,0.9368421052631579,0.6363636363636364,0.968421052631579,0.7777777777777778,0.7721219131742265,42,24,356,0
10,0.9,0.8571428571428571,0.9131578947368421,0.5217391304347826,0.8851503759398496,0.6486486486486486,0.6235407876250945,36,33,347,6
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,380,42
15,0.1,0.9523809523809523,0.8842105263157894,0.47619047619047616,0.9182957393483708,0.634920634920635,0.6272373148828286,40,44,336,2
15,0.2,0.9523809523809523,0.9263157894736842,0.5882352941176471,0.9393483709273183,0.7272727272727274,0.7154830871607101,40,28,352,2
15,0.3,0.9523809523809523,0.8842105263157894,0.47619047619047616,0.9182957393483708,0.634920634920635,0.6272373148828286,40,44,336,2
15,0.4,0.9047619047619048,0.8789473684210526,0.4523809523809524,0.8918546365914787,0.6031746031746031,0.5875887009103071,38,46,334,4
15,0.5,0.9285714285714286,0.9368421052631579,0.6190476190476191,0.9327067669172933,0.742857142857143,0.726980274588743,39,24,356,3
15,0.6,0.9523809523809523,0.9289473684210526,0.5970149253731343,0.9406641604010024,0.7339449541284403,0.7219424711820807,40,27,353,2
15,0.7,0.9285714285714286,0.9368421052631579,0.6190476190476191,0.9327067669172933,0.742857142857143,0.726980274588743,39,24,356,3
15,0.8,0.9523809523809523,0.9394736842105263,0.6349206349206349,0.9459273182957393,0.7619047619047619,0.7491918062913531,40,23,357,2
15,0.9,0.8809523809523809,0.8921052631578947,0.47435897435897434,0.8865288220551378,0.6166666666666666,0.5962134921433734,37,41,339,5
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,380,42
20,0.1,0.9523809523809523,0.9315789473684211,0.6060606060606061,0.9419799498746867,0.7407407407407407,0.7285377174332522,40,26,354,2
20,0.2,0.8809523809523809,0.9236842105263158,0.5606060606060606,0.9023182957393483,0.6851851851851851,0.6631614238217909,37,29,351,5
20,0.3,0.8809523809523809,0.9315789473684211,0.5873015873015873,0.906265664160401,0.7047619047619047,0.6825572111835231,37,26,354,5
20,0.4,0.8809523809523809,0.9315789473684211,0.5873015873015873,0.906265664160401,0.7047619047619047,0.6825572111835231,37,26,354,5
20,0.5,0.9523809523809523,0.9631578947368421,0.7407407407407407,0.9577694235588972,0.8333333333333334,0.8204883723655428,40,14,366,2
20,0.6,0.9523809523809523,0.9631578947368421,0.7407407407407407,0.9577694235588972,0.8333333333333334,0.8204883723655428,40,14,366,2
20,0.7,0.8809523809523809,0.9315789473684211,0.5873015873015873,0.906265664160401,0.7047619047619047,0.6825572111835231,37,26,354,5
20,0.8,0.8809523809523809,0.9394736842105263,0.6166666666666667,0.9102130325814537,0.7254901960784315,0.7032763006967391,37,23,357,5
20,0.9,0.9523809523809523,0.9842105263157894,0.8695652173913043,0.9682957393483709,0.909090909090909,0.8996918934903435,40,6,374,2
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,380,42
25,0.1,0.9523809523809523,0.8894736842105263,0.4878048780487805,0.9209273182957394,0.6451612903225806,0.6369526766092672,40,42,338,2
25,0.2,0.9523809523809523,0.9526315789473684,0.6896551724137931,0.9525062656641603,0.7999999999999999,0.786876087452082,40,18,362,2
25,0.3,1.0,0.9421052631578948,0.65625,0.9710526315789474,0.7924528301886793,0.7862929345653364,42,22,358,0
25,0.4,1.0,0.9263157894736842,0.6,0.9631578947368421,0.7499999999999999,0.7455128930368747,42,28,352,0
25,0.5,0.9523809523809523,0.9657894736842105,0.7547169811320755,0.9590852130325814,0.8421052631578947,0.829446971572049,40,13,367,2
25,0.6,0.9047619047619048,0.9394736842105263,0.6229508196721312,0.9221177944862156,0.7378640776699029,0.7187230629307905,38,23,357,4
25,0.7,0.9523809523809523,0.9763157894736842,0.8163265306122449,0.9643483709273183,0.8791208791208791,0.8678364950116814,40,9,371,2
25,0.8,1.0,0.9447368421052632,0.6666666666666666,0.9723684210526315,0.8,0.7936148696965731,42,21,359,0
25,0.9,0.9523809523809523,0.9842105263157894,0.8695652173913043,0.9682957393483709,0.909090909090909,0.8996918934903435,40,6,374,2
