global_round,entropy_ratio,confuse_model_ratio,vote_mode,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.1,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.1,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.2,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.2,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.3,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.3,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.4,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.4,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.1,0.5,True,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.1,0.5,False,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.1,0.6,True,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.1,0.6,False,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.1,0.7,True,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.1,0.7,False,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.1,0.8,True,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.1,0.8,False,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.1,0.9,True,0.5,0.9984962406015038,0.7142857142857143,0.7492481203007519,0.588235294117647,0.5951461290535652,5,2,1328,5
5,0.1,0.9,False,0.5,0.9984962406015038,0.7142857142857143,0.7492481203007519,0.588235294117647,0.5951461290535652,5,2,1328,5
5,0.1,1.0,True,0.5,0.9984962406015038,0.7142857142857143,0.7492481203007519,0.588235294117647,0.5951461290535652,5,2,1328,5
5,0.1,1.0,False,0.5,0.9984962406015038,0.7142857142857143,0.7492481203007519,0.588235294117647,0.5951461290535652,5,2,1328,5
5,0.15,0.1,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.15,0.1,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.15,0.2,True,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.15,0.2,False,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.15,0.3,True,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.15,0.3,False,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.15,0.4,True,0.2,1.0,1.0,0.6,0.33333333333333337,0.4458746296340156,2,0,1330,8
5,0.15,0.4,False,0.2,1.0,1.0,0.6,0.33333333333333337,0.4458746296340156,2,0,1330,8
5,0.15,0.5,True,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.15,0.5,False,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.15,0.6,True,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.15,0.6,False,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.15,0.7,True,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.15,0.7,False,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
