
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: Cluster_0: '2', Cluster_5: '2', Cluster_7: '2'
Global ID = 1  | from: Cluster_1: '5', Cluster_4: '5', Cluster_8: '5'
Global ID = 3  | from: Cluster_10: '1', Cluster_11: '1', Cluster_2: '3', Cluster_3: '1', Cluster_4: '3', Cluster_6: '5', Cluster_7: '1', Cluster_9: '3'
Global ID = 4  | from: Cluster_1: '6', Cluster_11: '6', Cluster_2: '6', Cluster_3: '6', Cluster_4: '6', Cluster_7: '6', Cluster_8: '6', Cluster_9: '6'
Global ID = 5  | from: Cluster_10: '4', Cluster_11: '4', Cluster_2: '4', Cluster_4: '4', Cluster_5: '9', Cluster_6: '4', Cluster_7: '4'
Global ID = 6  | from: Cluster_2: '7', Cluster_6: '7', Cluster_7: '7', Cluster_8: '9'
Global ID = 7  | from: Cluster_10: '0', Cluster_11: 'D', Cluster_7: '0', Cluster_9: 'O'
Global ID = 8  | from: Cluster_10: 'S', Cluster_9: '5'
Global ID = 9  | from: Cluster_10: 'q', Cluster_11: 'g', Cluster_9: '9'
Global ID = 10 | from: Cluster_10: 'p', Cluster_9: 'P'
Global ID = 11 | from: Cluster_10: 'R', Cluster_9: 'R'
Global ID = 12 | from: Cluster_10: '2', Cluster_11: 'Z', Cluster_9: 'Z'
Global ID = 13 | from: Cluster_10: 'k', Cluster_11: 'k', Cluster_9: 'K'
Global ID = 14 | from: Cluster_10: 'C', Cluster_11: 'c', Cluster_9: 'c'
Global ID = 15 | from: Cluster_10: 'M', Cluster_11: 'M', Cluster_9: 'm'
Global ID = 16 | from: Cluster_10: 'W', Cluster_11: 'w'
Global ID = 17 | from: Cluster_10: 'X', Cluster_11: 'x'
Global ID = 18 | from: Cluster_10: 'h', Cluster_11: 'h'
Global ID = 19 | from: Cluster_2: '9'
Global ID = 20 | from: Cluster_4: '8'
Global ID = 21 | from: Cluster_5: '1'
Global ID = 22 | from: Cluster_9: '1'
Global ID = 23 | from: Cluster_9: '2'
Global ID = 24 | from: Cluster_9: '7'
Global ID = 25 | from: Cluster_9: 'A'
Global ID = 26 | from: Cluster_9: 'B'
Global ID = 27 | from: Cluster_9: 'C'
Global ID = 28 | from: Cluster_9: 'D'
Global ID = 29 | from: Cluster_9: 'E'
Global ID = 30 | from: Cluster_9: 'G'
Global ID = 31 | from: Cluster_9: 'I'
Global ID = 32 | from: Cluster_9: 'J'
Global ID = 33 | from: Cluster_9: 'L'
Global ID = 34 | from: Cluster_9: 'M'
Global ID = 35 | from: Cluster_9: 'N'
Global ID = 36 | from: Cluster_9: 'Q'
Global ID = 37 | from: Cluster_9: 'S'
Global ID = 38 | from: Cluster_9: 'T'
Global ID = 39 | from: Cluster_9: 'U'
Global ID = 40 | from: Cluster_9: 'X'
Global ID = 41 | from: Cluster_9: 'Y'
Global ID = 42 | from: Cluster_9: 'b'
Global ID = 43 | from: Cluster_9: 'd'
Global ID = 44 | from: Cluster_9: 'i'
Global ID = 45 | from: Cluster_9: 'j'
Global ID = 46 | from: Cluster_9: 'k'
Global ID = 47 | from: Cluster_9: 'l'
Global ID = 48 | from: Cluster_9: 'n'
Global ID = 49 | from: Cluster_9: 'q'
Global ID = 50 | from: Cluster_9: 't'
Global ID = 51 | from: Cluster_9: 'u'
Global ID = 52 | from: Cluster_9: 'w'
Global ID = 53 | from: Cluster_9: 'x'
Global ID = 54 | from: Cluster_9: 'y'
