global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.2543859649122807,0.9966584025008085,0.651685393258427,0.6255221837065446,0.36593059936908523,0.39883517650614897,58,31,9246,170
5,0.15,0.2236842105263158,0.9950415004850706,0.5257731958762887,0.6093628555056931,0.31384615384615383,0.3329940835412728,51,46,9231,177
5,0.2,0.20614035087719298,0.9920232833890267,0.3884297520661157,0.5990818171331098,0.26934097421203435,0.27046338276341453,47,74,9203,181
5,0.25,0.25,0.9922388703244583,0.4418604651162791,0.6211194351622291,0.31932773109243695,0.32034015384551545,57,72,9205,171
5,0.3,0.2324561403508772,0.9914843160504473,0.4015151515151515,0.6119702282006623,0.2944444444444444,0.29280432452164395,53,79,9198,175
5,0.35,0.2236842105263158,0.9888972728252667,0.33116883116883117,0.6062907416757912,0.2670157068062827,0.2576364142256475,51,103,9174,177
5,0.4,0.20614035087719298,0.9886816858898351,0.3092105263157895,0.5974110183835141,0.24736842105263163,0.23763588317778764,47,105,9172,181
5,0.45,0.19736842105263158,0.9874959577449607,0.2795031055900621,0.5924321893987962,0.23136246786632392,0.21920228886797,45,116,9161,183
5,0.5,0.21052631578947367,0.9876037512126765,0.294478527607362,0.5990650335010751,0.2455242966751918,0.23351127466541272,48,115,9162,180
5,0.55,0.18421052631578946,0.9893284466961302,0.2978723404255319,0.5867694865059598,0.22764227642276422,0.21964836050779216,42,99,9178,186
5,0.6,0.18421052631578946,0.9885738924221192,0.28378378378378377,0.5863922093689543,0.22340425531914893,0.2135387055238746,42,106,9171,186
5,0.65,0.18421052631578946,0.9885738924221192,0.28378378378378377,0.5863922093689543,0.22340425531914893,0.2135387055238746,42,106,9171,186
5,0.7,0.18421052631578946,0.9885738924221192,0.28378378378378377,0.5863922093689543,0.22340425531914893,0.2135387055238746,42,106,9171,186
5,0.75,0.18421052631578946,0.9882505120189716,0.2781456953642384,0.5862305191673806,0.22163588390501315,0.21104498757117804,42,109,9168,186
5,0.8,0.18421052631578946,0.98803492508354,0.27450980392156865,0.5861227256996647,0.2204724409448819,0.20942137144307826,42,111,9166,186
5,0.85,0.18421052631578946,0.9873881642772449,0.2641509433962264,0.5857993452965171,0.2170542635658915,0.20472633928571277,42,117,9160,186
5,0.9,0.18421052631578946,0.9873881642772449,0.2641509433962264,0.5857993452965171,0.2170542635658915,0.20472633928571277,42,117,9160,186
5,0.95,0.18421052631578946,0.9873881642772449,0.2641509433962264,0.5857993452965171,0.2170542635658915,0.20472633928571277,42,117,9160,186
5,1.0,0.18421052631578946,0.9873881642772449,0.2641509433962264,0.5857993452965171,0.2170542635658915,0.20472633928571277,42,117,9160,186
10,0.1,0.36403508771929827,0.9933168050016169,0.5724137931034483,0.6786759463604576,0.4450402144772118,0.44611349714795984,83,62,9215,145
10,0.15,0.38596491228070173,0.9918076964535949,0.5365853658536586,0.6888863043671483,0.4489795918367347,0.4438978657461871,88,76,9201,140
