global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.3026315789473684,0.9873881642772449,0.3709677419354839,0.6450098716123066,0.3333333333333333,0.32037427583101263,69,117,9160,159
5,0.15,0.2982456140350877,0.9877115446803924,0.37362637362637363,0.64297857935774,0.3317073170731707,0.31927038719064155,68,114,9163,160
5,0.2,0.2982456140350877,0.9886816858898351,0.3930635838150289,0.6434636499624614,0.3391521197007481,0.3284223139653611,68,105,9172,160
5,0.25,0.29385964912280704,0.9886816858898351,0.38953488372093026,0.6412706675063211,0.335,0.32432344037962646,67,105,9172,161
5,0.3,0.29385964912280704,0.9886816858898351,0.38953488372093026,0.6412706675063211,0.335,0.32432344037962646,67,105,9172,161
5,0.35,0.29385964912280704,0.9886816858898351,0.38953488372093026,0.6412706675063211,0.335,0.32432344037962646,67,105,9172,161
5,0.4,0.29385964912280704,0.9900830009701412,0.42138364779874216,0.6419713250464741,0.34625322997416025,0.3387586415707361,67,92,9185,161
5,0.45,0.29385964912280704,0.9900830009701412,0.42138364779874216,0.6419713250464741,0.34625322997416025,0.3387586415707361,67,92,9185,161
5,0.5,0.2850877192982456,0.9914843160504473,0.4513888888888889,0.6382860176743465,0.3494623655913978,0.34644723446055903,65,79,9198,163
5,0.55,0.2807017543859649,0.9928856311307535,0.49230769230769234,0.6367936927583592,0.35754189944134074,0.360420891566501,64,66,9211,164
5,0.6,0.2543859649122807,0.9945025331464913,0.5321100917431193,0.624444249029386,0.34421364985163205,0.3576772153240369,58,51,9226,170
5,0.65,0.2543859649122807,0.9952570874205023,0.5686274509803921,0.6248215261663915,0.3515151515151515,0.37072970178338827,58,44,9233,170
5,0.7,0.21052631578947367,0.9968739894362402,0.6233766233766234,0.6037001526128569,0.31475409836065577,0.35401808090061726,48,29,9248,180
5,0.75,0.15350877192982457,0.9974129567748194,0.5932203389830508,0.575460864352322,0.24390243902439024,0.29401737540142103,35,24,9253,193
