global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
5,0.15,0.2,1.0,1.0,0.6,0.33333333333333337,0.4458746296340156,2,0,1330,8
5,0.2,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
5,0.25,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.3,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.35,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.4,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.45,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.5,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.55,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.6,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
5,0.65,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.7,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.75,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.8,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.85,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.9,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,0.95,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
5,1.0,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.1,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
10,0.15,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
10,0.2,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
10,0.25,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
10,0.3,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
10,0.35,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
10,0.4,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
10,0.45,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
10,0.5,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
10,0.55,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
10,0.6,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
10,0.65,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
10,0.7,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.75,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.8,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.85,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.9,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,0.95,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
10,1.0,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
