global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.2776470588235294,0.9936120609263289,0.5345413363533409,0.6356295598749292,0.36546651180797524,0.37401450498079675,472,411,63929,1228
5,0.15,0.2752941176470588,0.9947932856698788,0.5828144458281445,0.6350437016584688,0.3739512584898122,0.39026944892222126,468,335,64005,1232
5,0.2,0.27176470588235296,0.9959123406900839,0.6372413793103449,0.6338385232862185,0.3810309278350516,0.4068184604365417,462,263,64077,1238
5,0.25,0.2605882352941176,0.9970935654336338,0.7031746031746032,0.6288409003638757,0.38025751072961367,0.41981348675036967,443,187,64153,1257
5,0.3,0.24176470588235294,0.9978085172520982,0.7445652173913043,0.6197866115672256,0.3650088809946714,0.4167281731841499,411,141,64199,1289
5,0.35,0.2388235294117647,0.9983214174696923,0.7898832684824902,0.6185724734407285,0.36675700090334235,0.42735665935006895,406,108,64232,1294
5,0.4,0.1988235294117647,0.9987721479639415,0.8105515587529976,0.5987978386878531,0.3193197921587152,0.3950448103319543,338,79,64261,1362
5,0.45,0.16588235294117648,0.9990208268573205,0.8173913043478261,0.5824515898992485,0.2757946210268949,0.362258273607972,282,63,64277,1418
5,0.5,0.15705882352941178,0.9990519117189929,0.8140243902439024,0.5780553676242023,0.2633136094674556,0.35167256861605045,267,61,64279,1433
5,0.55,0.14705882352941177,0.9991607087348461,0.8223684210526315,0.5731097661321289,0.249500998003992,0.34208336098129016,250,54,64286,1450
5,0.6,0.13823529411764707,0.9994715573515698,0.8736059479553904,0.5688534257346084,0.23869984763839516,0.3423948116523597,235,34,64306,1465
5,0.65,0.11058823529411765,0.9995181846440784,0.8584474885844748,0.555053209969098,0.1959353830119854,0.30330064610360497,188,31,64309,1512
5,0.7,0.09705882352941177,0.9995648119365869,0.8549222797927462,0.5483118177329993,0.17432646592709986,0.28346648055240714,165,28,64312,1535
5,0.75,0.07176470588235294,0.9998445756916382,0.9242424242424242,0.5358046407869955,0.13318777292576417,0.25390910433501973,122,10,64330,1578
5,0.8,0.051176470588235295,0.9998601181224743,0.90625,0.5255182943553548,0.09688195991091314,0.21214039220662018,87,9,64331,1613
5,0.85,0.03823529411764706,0.9999689151383276,0.9701492537313433,0.5191021046279873,0.07357102433503114,0.1900446666213883,65,2,64338,1635
5,0.9,0.019411764705882354,0.9999844575691638,0.9705882352941176,0.5096981111375231,0.03806228373702422,0.13541007395405713,33,1,64339,1667
5,0.95,0.00823529411764706,1.0,1.0,0.5041176470588236,0.01633605600933489,0.08958237900501505,14,0,64340,1686
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,64340,1700
