global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
25,0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
25,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
25,0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
25,0.25,0.1,1.0,1.0,0.55,0.18181818181818182,0.3151632221713219,1,0,1330,9
25,0.3,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
25,0.35,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
25,0.4,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
25,0.45,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
25,0.5,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.55,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.6,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.65,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.7,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.75,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.8,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.85,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.9,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,0.95,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
25,1.0,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
