global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.7,0.9992481203007518,0.875,0.849624060150376,0.7777777777777777,0.7811960202851314,7,1,1329,3
5,0.15,0.8,0.9992481203007518,0.8888888888888888,0.899624060150376,0.8421052631578948,0.8421649480451671,8,1,1329,2
5,0.2,0.8,0.9992481203007518,0.8888888888888888,0.899624060150376,0.8421052631578948,0.8421649480451671,8,1,1329,2
5,0.25,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
5,0.3,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
5,0.35,1.0,0.9992481203007518,0.9090909090909091,0.9996240601503759,0.9523809523809523,0.9531040772610264,10,1,1329,0
5,0.4,1.0,0.9992481203007518,0.9090909090909091,0.9996240601503759,0.9523809523809523,0.9531040772610264,10,1,1329,0
5,0.45,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.5,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.55,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.6,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.65,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
5,0.7,1.0,0.9962406015037594,0.6666666666666666,0.9981203007518797,0.8,0.814960367749565,10,5,1325,0
5,0.75,1.0,0.9947368421052631,0.5882352941176471,0.9973684210526316,0.7407407407407407,0.7649439972216586,10,7,1323,0
5,0.8,1.0,0.9962406015037594,0.6666666666666666,0.9981203007518797,0.8,0.814960367749565,10,5,1325,0
