global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.6,0.9969924812030075,0.6,0.7984962406015037,0.6,0.5969924812030075,6,4,1326,4
5,0.15,0.7,0.9977443609022556,0.7,0.8488721804511278,0.7,0.6977443609022557,7,3,1327,3
5,0.2,0.8,0.9977443609022556,0.7272727272727273,0.8988721804511278,0.761904761904762,0.7609055123957479,8,3,1327,2
5,0.25,0.7,0.9977443609022556,0.7,0.8488721804511278,0.7,0.6977443609022557,7,3,1327,3
5,0.3,0.6,0.9969924812030075,0.6,0.7984962406015037,0.6,0.5969924812030075,6,4,1326,4
5,0.35,0.7,0.9954887218045113,0.5384615384615384,0.8477443609022557,0.608695652173913,0.6106730786519934,7,6,1324,3
5,0.4,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
5,0.45,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
5,0.5,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.55,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.6,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.65,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.7,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.75,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.8,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.85,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.9,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.95,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,1.0,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
10,0.1,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
10,0.15,0.6,0.9977443609022556,0.6666666666666666,0.7988721804511278,0.631578947368421,0.6298411417647298,6,3,1327,4
10,0.2,0.6,0.9977443609022556,0.6666666666666666,0.7988721804511278,0.631578947368421,0.6298411417647298,6,3,1327,4
10,0.25,0.7,0.9984962406015038,0.7777777777777778,0.8492481203007518,0.7368421052631577,0.7360030449049484,7,2,1328,3
10,0.3,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
10,0.35,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
10,0.4,0.8,0.9932330827067669,0.47058823529411764,0.8966165413533835,0.5925925925925927,0.6099893553052531,8,9,1321,2
10,0.45,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
10,0.5,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
10,0.55,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
10,0.6,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
10,0.65,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.7,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.75,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.8,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.85,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.9,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.95,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,1.0,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
15,0.1,0.3,0.9992481203007518,0.75,0.6496240601503759,0.4285714285714285,0.47208915834573123,3,1,1329,7
15,0.15,0.4,0.9992481203007518,0.8,0.6996240601503759,0.5333333333333333,0.5635637698310778,4,1,1329,6
15,0.2,0.7,0.9992481203007518,0.875,0.849624060150376,0.7777777777777777,0.7811960202851314,7,1,1329,3
15,0.25,0.8,0.9977443609022556,0.7272727272727273,0.8988721804511278,0.761904761904762,0.7609055123957479,8,3,1327,2
15,0.3,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
15,0.35,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
15,0.4,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
15,0.45,0.8,0.9969924812030075,0.6666666666666666,0.8984962406015038,0.7272727272727272,0.728098915615643,8,4,1326,2
15,0.5,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
15,0.55,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
15,0.6,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
