Time: 2026-04-18 23:18:48
Log Dir: /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_23-18-48/baseline_super_dataset
================================================================================
============================== New Client: baseline ==============================
  Target Model: logs/2026-04-17_17-19-36/Ours/config_checkpoints.pth
  Dataset Mode: super
  Output Dir:   /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_23-18-48/baseline_super_dataset
================================================================================

====================================================================================================
--- [Super Dataset] Mode ---
====================================================================================================

==================================================
[ResNet18] Training on Super Dataset...
==================================================
    Epoch 0 (init) | Acc: 4.84%
    Epoch 1/30 | CE: 2.7213 | Acc: 30.80%
    Epoch 2/30 | CE: 1.3522 | Acc: 39.16%
    Epoch 3/30 | CE: 0.9817 | Acc: 57.15%
    Epoch 4/30 | CE: 0.7976 | Acc: 60.96%
    Epoch 5/30 | CE: 0.7202 | Acc: 63.77%
    Epoch 6/30 | CE: 0.6166 | Acc: 62.19%
    Epoch 7/30 | CE: 0.5799 | Acc: 68.21%
    Epoch 8/30 | CE: 0.5359 | Acc: 73.73%
    Epoch 9/30 | CE: 0.4729 | Acc: 69.65%
    Epoch 10/30 | CE: 0.4209 | Acc: 63.04%
    Epoch 11/30 | CE: 0.3779 | Acc: 71.19%
    Epoch 12/30 | CE: 0.3877 | Acc: 69.06%
    Epoch 13/30 | CE: 0.3477 | Acc: 69.83%
    Epoch 14/30 | CE: 0.3043 | Acc: 71.61%
    Epoch 15/30 | CE: 0.2838 | Acc: 68.46%
    Epoch 16/30 | CE: 0.2625 | Acc: 69.49%
    Epoch 17/30 | CE: 0.2098 | Acc: 72.65%
    Epoch 18/30 | CE: 0.2071 | Acc: 63.54%
    Epoch 19/30 | CE: 0.2116 | Acc: 66.78%
    Epoch 20/30 | CE: 0.1845 | Acc: 70.58%
    Epoch 21/30 | CE: 0.1165 | Acc: 70.98%
    Epoch 22/30 | CE: 0.1293 | Acc: 72.33%
    Epoch 23/30 | CE: 0.1198 | Acc: 71.28%
    Epoch 24/30 | CE: 0.1148 | Acc: 69.30%
    Epoch 25/30 | CE: 0.1439 | Acc: 72.09%
    Epoch 26/30 | CE: 0.1080 | Acc: 70.79%
    Epoch 27/30 | CE: 0.0950 | Acc: 65.82%
    Epoch 28/30 | CE: 0.0930 | Acc: 67.63%
    Epoch 29/30 | CE: 0.0446 | Acc: 74.01%
    Epoch 30/30 | CE: 0.0292 | Acc: 71.29%
Accuracy history saved to /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_23-18-48/baseline_super_dataset/SuperDataset_newclient_history.csv

============================== Finished. Total Time: 0:12:31 ==============================
