Time: 2026-04-18 22:23:41
Log Dir: /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_22-23-41/our_finetune_global_super_dataset
================================================================================
============================== New Client: our_finetune_global ==============================
  Target Model: logs/2026-04-17_17-19-36/Ours/config_checkpoints.pth
  Dataset Mode: super
  Output Dir:   /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_22-23-41/our_finetune_global_super_dataset
================================================================================
[Init] Server Global Model parameters from: logs/2026-04-17_17-19-36/Ours/server_global_model.pth

====================================================================================================
--- [Super Dataset] Mode ---
====================================================================================================

==================================================
[ResNet18] Training on Super Dataset...
==================================================
    Epoch 0 | Acc: 9.92%
    Epoch 1/30 | CE Loss: 3.5344 | Acc: 29.62%
    Epoch 2/30 | CE Loss: 1.8073 | Acc: 52.09%
    Epoch 3/30 | CE Loss: 1.3028 | Acc: 61.75%
    Epoch 4/30 | CE Loss: 0.9869 | Acc: 63.46%
    Epoch 5/30 | CE Loss: 0.8342 | Acc: 57.50%
    Epoch 6/30 | CE Loss: 0.7079 | Acc: 68.04%
    Epoch 7/30 | CE Loss: 0.6291 | Acc: 66.68%
    Epoch 8/30 | CE Loss: 0.5242 | Acc: 66.33%
    Epoch 9/30 | CE Loss: 0.4464 | Acc: 63.97%
    Epoch 10/30 | CE Loss: 0.4155 | Acc: 67.38%
    Epoch 11/30 | CE Loss: 0.3533 | Acc: 66.41%
    Epoch 12/30 | CE Loss: 0.3179 | Acc: 64.49%
    Epoch 13/30 | CE Loss: 0.2766 | Acc: 62.74%
    Epoch 14/30 | CE Loss: 0.2926 | Acc: 69.58%
    Epoch 15/30 | CE Loss: 0.2168 | Acc: 65.37%
    Epoch 16/30 | CE Loss: 0.2137 | Acc: 69.07%
    Epoch 17/30 | CE Loss: 0.1698 | Acc: 66.19%
    Epoch 18/30 | CE Loss: 0.1538 | Acc: 67.27%
    Epoch 19/30 | CE Loss: 0.1559 | Acc: 68.13%
    Epoch 20/30 | CE Loss: 0.1337 | Acc: 68.87%
    Epoch 21/30 | CE Loss: 0.1231 | Acc: 68.77%
    Epoch 22/30 | CE Loss: 0.1152 | Acc: 60.79%
    Epoch 23/30 | CE Loss: 0.1446 | Acc: 65.67%
    Epoch 24/30 | CE Loss: 0.1089 | Acc: 67.96%
    Epoch 25/30 | CE Loss: 0.0796 | Acc: 66.60%
    Epoch 26/30 | CE Loss: 0.0748 | Acc: 70.16%
    Epoch 27/30 | CE Loss: 0.0815 | Acc: 61.20%
    Epoch 28/30 | CE Loss: 0.0880 | Acc: 68.74%
    Epoch 29/30 | CE Loss: 0.0815 | Acc: 64.43%
    Epoch 30/30 | CE Loss: 0.0834 | Acc: 65.76%
Accuracy history saved to /home/unshun/multi-FL/logs/2026-04-17_17-19-36/Ours/new_client_2026-04-18_22-23-41/our_finetune_global_super_dataset/SuperDataset_newclient_history.csv

============================== Finished. Total Time: 0:13:01 ==============================
