Time: 2026-04-18 22:50:17
Log Dir: /home/unshun/multi-FL/logs/2026-04-18_15-23-13/UDON/new_client_2026-04-18_22-50-17/our_finetune_global_super_dataset
================================================================================
============================== New Client: our_finetune_global ==============================
  Target Model: logs/2026-04-18_15-23-13/UDON/config_checkpoints.pth
  Dataset Mode: super
  Output Dir:   /home/unshun/multi-FL/logs/2026-04-18_15-23-13/UDON/new_client_2026-04-18_22-50-17/our_finetune_global_super_dataset
================================================================================
[Init] Server Global Model parameters from: logs/2026-04-18_15-23-13/UDON/server_global_model.pth

====================================================================================================
--- [Super Dataset] Mode ---
====================================================================================================

==================================================
[ResNet18] Training on Super Dataset...
==================================================
    Epoch 0 | Acc: 79.62%
    Epoch 1/30 | CE Loss: 0.6469 | Acc: 78.56%
    Epoch 2/30 | CE Loss: 0.4025 | Acc: 77.08%
    Epoch 3/30 | CE Loss: 0.3178 | Acc: 77.11%
    Epoch 4/30 | CE Loss: 0.2587 | Acc: 76.11%
    Epoch 5/30 | CE Loss: 0.2084 | Acc: 75.02%
    Epoch 6/30 | CE Loss: 0.1634 | Acc: 73.90%
    Epoch 7/30 | CE Loss: 0.1243 | Acc: 74.84%
    Epoch 8/30 | CE Loss: 0.0927 | Acc: 74.61%
    Epoch 9/30 | CE Loss: 0.0639 | Acc: 74.40%
    Epoch 10/30 | CE Loss: 0.0402 | Acc: 74.78%
    Epoch 11/30 | CE Loss: 0.0247 | Acc: 73.98%
    Epoch 12/30 | CE Loss: 0.0145 | Acc: 74.72%
    Epoch 13/30 | CE Loss: 0.0108 | Acc: 73.20%
    Epoch 14/30 | CE Loss: 0.0111 | Acc: 74.10%
    Epoch 15/30 | CE Loss: 0.0055 | Acc: 74.45%
    Epoch 16/30 | CE Loss: 0.0032 | Acc: 74.24%
    Epoch 17/30 | CE Loss: 0.0021 | Acc: 74.21%
    Epoch 18/30 | CE Loss: 0.0017 | Acc: 73.90%
    Epoch 19/30 | CE Loss: 0.0013 | Acc: 74.16%
    Epoch 20/30 | CE Loss: 0.0010 | Acc: 74.04%
    Epoch 21/30 | CE Loss: 0.0009 | Acc: 74.16%
    Epoch 22/30 | CE Loss: 0.0007 | Acc: 74.11%
    Epoch 23/30 | CE Loss: 0.0007 | Acc: 74.20%
    Epoch 24/30 | CE Loss: 0.0006 | Acc: 74.02%
    Epoch 25/30 | CE Loss: 0.0005 | Acc: 74.11%
    Epoch 26/30 | CE Loss: 0.0004 | Acc: 73.92%
    Epoch 27/30 | CE Loss: 0.0003 | Acc: 73.93%
    Epoch 28/30 | CE Loss: 0.0003 | Acc: 73.94%
    Epoch 29/30 | CE Loss: 0.0003 | Acc: 74.10%
    Epoch 30/30 | CE Loss: 0.0003 | Acc: 74.21%
Accuracy history saved to /home/unshun/multi-FL/logs/2026-04-18_15-23-13/UDON/new_client_2026-04-18_22-50-17/our_finetune_global_super_dataset/SuperDataset_newclient_history.csv

============================== Finished. Total Time: 0:13:22 ==============================
