thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.18176100628930816,0.9999032480995163,0.5908321271944122,289,7,72343,1301
0.15,0.1949685534591195,0.999861782999309,0.5974151682292143,310,10,72340,1280
0.2,0.24968553459119497,0.9995438838977194,0.6246147092444572,397,33,72317,1193
0.25,0.2893081761006289,0.9990601243953007,0.6441841502479648,460,68,72282,1130
0.3,0.320125786163522,0.9984243261921216,0.6592750561778218,509,114,72236,1081
0.35,0.3339622641509434,0.9985210780926054,0.6662416711217743,531,107,72243,1059
0.4,0.34150943396226413,0.9972633033863165,0.6693863686742904,543,198,72152,1047
0.45,0.3339622641509434,0.9968624740843124,0.6654123691176279,531,227,72123,1059
0.5,0.3452830188679245,0.9963925362819627,0.6708377775749436,549,261,72089,1041
0.55,0.3534591194968553,0.9958120248790602,0.6746355721879578,562,303,72047,1028
0.6,0.3540880503144654,0.9940704906703525,0.6740792704924089,563,429,71921,1027
0.65,0.36163522012578614,0.9961713890808569,0.6789033046033215,575,277,72073,1015
0.7,0.3691823899371069,0.993379405666897,0.681280897802002,587,479,71871,1003
0.75,0.3710691823899371,0.9941672425708362,0.6826182124803867,590,422,71928,1000
0.8,0.3672955974842767,0.9929509329647547,0.6801232652245157,584,510,71840,1006
0.85,0.36855345911949683,0.993130615065653,0.680842037092575,586,497,71853,1004
0.9,0.3584905660377358,0.9909053213545266,0.6746979436961312,570,658,71692,1020
0.95,0.37484276729559746,0.9906288873531445,0.682735827324371,596,678,71672,994
1.0,0.37484276729559746,0.9928265376641326,0.6838346524798651,596,519,71831,994
