thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.26040268456375837,1.0,0.6302013422818792,388,0,53450,1102
0.15,0.3093959731543624,0.9999064546304958,0.6546512138924291,461,5,53445,1029
0.2,0.39731543624161075,0.9998129092609915,0.6985641727513011,592,10,53440,898
0.25,0.48322147651006714,0.9997193638914874,0.7414704202007772,720,15,53435,770
0.3,0.5375838926174497,0.9994948550046773,0.7685393738110635,801,27,53423,689
0.35,0.5503355704697986,0.9994948550046773,0.774915212737238,820,27,53423,670
0.4,0.5610738255033557,0.9994948550046773,0.7802843402540165,836,27,53423,654
0.45,0.5724832214765101,0.9994948550046773,0.7859890382405936,853,27,53423,637
0.5,0.5724832214765101,0.9994948550046773,0.7859890382405936,853,27,53423,637
0.55,0.5724832214765101,0.9994948550046773,0.7859890382405936,853,27,53423,637
0.6,0.5724832214765101,0.9994948550046773,0.7859890382405936,853,27,53423,637
0.65,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.7,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.75,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.8,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.85,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.9,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
0.95,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
1.0,0.5751677852348993,0.9994948550046773,0.7873313201197882,857,27,53423,633
