thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.17919463087248322,1.0,0.5895973154362416,267,0,53450,1223
0.15,0.21543624161073827,0.9999251637043967,0.6076807026575675,321,4,53446,1169
0.2,0.2570469798657718,0.9995509822263798,0.6282989810460758,383,24,53426,1107
0.25,0.2973154362416107,0.9988026192703461,0.6480590277559783,443,64,53386,1047
0.3,0.3436241610738255,0.9985968194574368,0.6711104902656312,512,75,53375,978
0.35,0.34697986577181206,0.9985406922357344,0.6727602790037732,517,78,53372,973
0.4,0.36308724832214767,0.9975678203928906,0.6803275343575191,541,130,53320,949
0.45,0.36308724832214767,0.9976987839101964,0.680393016116172,541,123,53327,949
0.5,0.35906040268456374,0.9976987839101964,0.6783795932973801,535,123,53327,955
0.55,0.36308724832214767,0.9969504209541628,0.6800188346381553,541,163,53287,949
0.6,0.35436241610738256,0.9973807296538821,0.6758715728806324,528,140,53310,962
0.65,0.36845637583892615,0.9981665107577175,0.6833114432983218,549,98,53352,941
0.7,0.36308724832214767,0.9981852198316183,0.680636234076883,541,97,53353,949
0.75,0.363758389261745,0.9977923292797006,0.6807753592707229,542,118,53332,948
0.8,0.361744966442953,0.9960149672591206,0.6788799668510368,539,213,53237,951
0.85,0.35838926174496644,0.9978858746492049,0.6781375681970856,534,113,53337,956
0.9,0.35906040268456374,0.9978858746492049,0.6784731386668843,535,113,53337,955
0.95,0.36644295302013424,0.9974555659494855,0.6819492594848099,546,136,53314,944
1.0,0.3604026845637584,0.9973433115060805,0.6788729980349194,537,142,53308,953
