thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.24465408805031447,1.0,0.6223270440251573,389,0,72350,1201
0.15,0.29371069182389936,0.9997926744989634,0.6467516831614314,467,15,72335,1123
0.2,0.37610062893081764,0.9997235659986178,0.6879120974647177,598,20,72330,992
0.25,0.45723270440251573,0.9996544574982723,0.728443580950394,727,25,72325,863
0.3,0.510062893081761,0.9995577055977886,0.7548102993397747,811,32,72318,779
0.35,0.5270440251572327,0.9995577055977886,0.7633008653775106,838,32,72318,752
0.4,0.5389937106918239,0.9995577055977886,0.7692757081448063,857,32,72318,733
0.45,0.5509433962264151,0.999488597097443,0.775215996661929,876,37,72313,714
0.5,0.5528301886792453,0.9990463026952315,0.7759382456872383,879,69,72281,711
0.55,0.5540880503144654,0.9986454733932274,0.7763667618538463,881,98,72252,709
0.6,0.560377358490566,0.9982861091914306,0.7793317338409983,891,124,72226,699
0.65,0.5641509433962264,0.9970421561852107,0.7805965497907186,897,214,72136,693
0.7,0.5672955974842767,0.997318590186593,0.7823070938354348,902,194,72156,688
0.75,0.5767295597484277,0.9971527297857636,0.7869411447670956,917,206,72144,673
0.8,0.5786163522012578,0.9970421561852107,0.7878292541932344,920,214,72136,670
0.85,0.5792452830188679,0.9968486523842433,0.7880469677015556,921,228,72122,669
0.9,0.5817610062893082,0.9961022805805114,0.7889316434349098,925,282,72068,665
0.95,0.5823899371069182,0.9962128541810643,0.7893013956439913,926,274,72076,664
1.0,0.5823899371069182,0.9962128541810643,0.7893013956439913,926,274,72076,664
