thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.5,1.0,0.75,5,0,1330,5
0.15,0.7,1.0,0.85,7,0,1330,3
0.2,0.6,0.9992481203007518,0.7996240601503759,6,1,1329,4
0.25,0.6,1.0,0.8,6,0,1330,4
0.3,0.7,1.0,0.85,7,0,1330,3
0.35,0.8,0.9984962406015038,0.8992481203007519,8,2,1328,2
0.4,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.45,0.9,0.9984962406015038,0.9492481203007519,9,2,1328,1
0.5,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.55,1.0,0.9992481203007518,0.9996240601503759,10,1,1329,0
0.6,1.0,1.0,1.0,10,0,1330,0
0.65,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.7,1.0,0.9992481203007518,0.9996240601503759,10,1,1329,0
0.75,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
0.8,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.85,0.9,0.9969924812030075,0.9484962406015038,9,4,1326,1
0.9,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
0.95,1.0,0.9969924812030075,0.9984962406015038,10,4,1326,0
1.0,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
