thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.1,1.0,0.55,1,0,1330,9
0.3,0.2,1.0,0.6,2,0,1330,8
0.35,0.4,1.0,0.7,4,0,1330,6
0.4,0.6,1.0,0.8,6,0,1330,4
0.45,0.7,1.0,0.85,7,0,1330,3
0.5,0.7,0.9992481203007518,0.849624060150376,7,1,1329,3
0.55,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.6,0.7,0.9992481203007518,0.849624060150376,7,1,1329,3
0.65,1.0,1.0,1.0,10,0,1330,0
0.7,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.75,1.0,0.9992481203007518,0.9996240601503759,10,1,1329,0
0.8,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
0.85,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
0.9,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
0.95,1.0,0.9977443609022556,0.9988721804511278,10,3,1327,0
1.0,1.0,0.9969924812030075,0.9984962406015038,10,4,1326,0
