Time: 2026-04-29 06:29:30
Log Dir: /home/unshun/multi-FL/logs/2026-04-27_23-16-36/Ours_GeFL/new_client_2026-04-29_06-29-30/our_finetune_global_super_dataset
================================================================================
============================== New Client: our_finetune_global ==============================
  Target Model: logs/2026-04-27_23-16-36/Ours_GeFL/server_checkpoints.pth
  Dataset Mode: super
  Output Dir:   /home/unshun/multi-FL/logs/2026-04-27_23-16-36/Ours_GeFL/new_client_2026-04-29_06-29-30/our_finetune_global_super_dataset
================================================================================
[Init] Server Global Model parameters from: logs/2026-04-27_23-16-36/Ours_GeFL/server_global_model.pth

====================================================================================================
--- [Super Dataset] Mode ---
====================================================================================================

==================================================
[ResNet18] Training on Super Dataset...
==================================================
    Epoch 0 | Acc: 38.50%
    Epoch 1/30 | CE Loss: 3.1276 | Acc: 60.00%
    Epoch 2/30 | CE Loss: 1.1058 | Acc: 68.53%
    Epoch 3/30 | CE Loss: 0.7922 | Acc: 71.13%
    Epoch 4/30 | CE Loss: 0.6274 | Acc: 69.79%
    Epoch 5/30 | CE Loss: 0.5096 | Acc: 70.44%
    Epoch 6/30 | CE Loss: 0.4124 | Acc: 72.12%
    Epoch 7/30 | CE Loss: 0.3493 | Acc: 66.76%
    Epoch 8/30 | CE Loss: 0.2862 | Acc: 66.04%
    Epoch 9/30 | CE Loss: 0.2359 | Acc: 73.28%
    Epoch 10/30 | CE Loss: 0.1918 | Acc: 72.41%
    Epoch 11/30 | CE Loss: 0.1497 | Acc: 68.30%
    Epoch 12/30 | CE Loss: 0.1282 | Acc: 67.14%
    Epoch 13/30 | CE Loss: 0.1027 | Acc: 69.04%
    Epoch 14/30 | CE Loss: 0.0926 | Acc: 68.16%
    Epoch 15/30 | CE Loss: 0.0696 | Acc: 69.20%
    Epoch 16/30 | CE Loss: 0.0504 | Acc: 72.17%
    Epoch 17/30 | CE Loss: 0.0376 | Acc: 62.74%
    Epoch 18/30 | CE Loss: 0.0383 | Acc: 69.29%
    Epoch 19/30 | CE Loss: 0.0347 | Acc: 70.26%
    Epoch 20/30 | CE Loss: 0.0246 | Acc: 70.39%
    Epoch 21/30 | CE Loss: 0.0165 | Acc: 71.15%
    Epoch 22/30 | CE Loss: 0.0205 | Acc: 69.80%
    Epoch 23/30 | CE Loss: 0.0232 | Acc: 65.21%
    Epoch 24/30 | CE Loss: 0.0282 | Acc: 69.80%
    Epoch 25/30 | CE Loss: 0.0258 | Acc: 70.66%
    Epoch 26/30 | CE Loss: 0.0180 | Acc: 70.93%
    Epoch 27/30 | CE Loss: 0.0231 | Acc: 70.42%
    Epoch 28/30 | CE Loss: 0.0372 | Acc: 69.89%
    Epoch 29/30 | CE Loss: 0.0203 | Acc: 70.05%
    Epoch 30/30 | CE Loss: 0.0111 | Acc: 71.68%
Accuracy history saved to /home/unshun/multi-FL/logs/2026-04-27_23-16-36/Ours_GeFL/new_client_2026-04-29_06-29-30/our_finetune_global_super_dataset/SuperDataset_newclient_history.csv

============================== Finished. Total Time: 0:16:20 ==============================
