Time: 2026-04-29 06:45:54
Log Dir: /home/unshun/multi-FL/logs/2026-04-27_23-30-49/Ours_GeFL/new_client_2026-04-29_06-45-54/our_finetune_global_super_dataset
================================================================================
============================== New Client: our_finetune_global ==============================
  Target Model: logs/2026-04-27_23-30-49/Ours_GeFL/server_checkpoints.pth
  Dataset Mode: super
  Output Dir:   /home/unshun/multi-FL/logs/2026-04-27_23-30-49/Ours_GeFL/new_client_2026-04-29_06-45-54/our_finetune_global_super_dataset
================================================================================
[Init] Server Global Model parameters from: logs/2026-04-27_23-30-49/Ours_GeFL/server_global_model.pth

====================================================================================================
--- [Super Dataset] Mode ---
====================================================================================================

==================================================
[ResNet18] Training on Super Dataset...
==================================================
    Epoch 0 | Acc: 44.59%
    Epoch 1/30 | CE Loss: 3.1495 | Acc: 61.87%
    Epoch 2/30 | CE Loss: 1.1807 | Acc: 67.82%
    Epoch 3/30 | CE Loss: 0.8597 | Acc: 68.59%
    Epoch 4/30 | CE Loss: 0.6951 | Acc: 70.54%
    Epoch 5/30 | CE Loss: 0.5929 | Acc: 71.22%
    Epoch 6/30 | CE Loss: 0.4919 | Acc: 71.27%
    Epoch 7/30 | CE Loss: 0.4191 | Acc: 70.75%
    Epoch 8/30 | CE Loss: 0.3525 | Acc: 71.14%
    Epoch 9/30 | CE Loss: 0.3065 | Acc: 70.08%
    Epoch 10/30 | CE Loss: 0.2579 | Acc: 71.39%
    Epoch 11/30 | CE Loss: 0.2054 | Acc: 68.87%
    Epoch 12/30 | CE Loss: 0.1741 | Acc: 71.03%
    Epoch 13/30 | CE Loss: 0.1552 | Acc: 72.84%
    Epoch 14/30 | CE Loss: 0.1245 | Acc: 70.66%
    Epoch 15/30 | CE Loss: 0.0951 | Acc: 71.57%
    Epoch 16/30 | CE Loss: 0.0634 | Acc: 71.49%
    Epoch 17/30 | CE Loss: 0.0581 | Acc: 68.50%
    Epoch 18/30 | CE Loss: 0.0453 | Acc: 71.25%
    Epoch 19/30 | CE Loss: 0.0365 | Acc: 70.97%
    Epoch 20/30 | CE Loss: 0.0303 | Acc: 70.65%
    Epoch 21/30 | CE Loss: 0.0214 | Acc: 71.78%
    Epoch 22/30 | CE Loss: 0.0225 | Acc: 72.80%
    Epoch 23/30 | CE Loss: 0.0169 | Acc: 70.18%
    Epoch 24/30 | CE Loss: 0.0169 | Acc: 72.18%
    Epoch 25/30 | CE Loss: 0.0147 | Acc: 71.23%
    Epoch 26/30 | CE Loss: 0.0173 | Acc: 70.25%
    Epoch 27/30 | CE Loss: 0.0223 | Acc: 70.36%
    Epoch 28/30 | CE Loss: 0.0190 | Acc: 70.73%
    Epoch 29/30 | CE Loss: 0.0356 | Acc: 71.62%
    Epoch 30/30 | CE Loss: 0.0365 | Acc: 69.83%
Accuracy history saved to /home/unshun/multi-FL/logs/2026-04-27_23-30-49/Ours_GeFL/new_client_2026-04-29_06-45-54/our_finetune_global_super_dataset/SuperDataset_newclient_history.csv

============================== Finished. Total Time: 0:15:50 ==============================
