Time: 2026-04-29 20:10:08
Log Dir: logs/2026-04-29_20-10-08/GeFL_local
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/homo-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_local
  num_new_clients: 1
  num_train_mnist: 5
  num_train_emnist: 5
  num_train_fashionmnist: 0
  num_train_cifar10: 0
  num_train_cifar100: 0
  num_train_usps: 0
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-homogeneity
heterogeneous: false
dirichlet_alpha: 100
global_rounds: 40
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 1
gen_observer_weight: 1.0
index_matching: class_name
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.7
global_model_epochs: 15
global_model_optim: Adam
global_model_optim_lr: 0.001

================================================================================

==================================================
Start 40 rounds training by GeFL_local
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
--- Round 1 ---
Client 0 (MNIST) | Target Loss: 0.9681 | G Loss: 2.2371 | D Loss: 0.3315
Client 1 (MNIST) | Target Loss: 1.0445 | G Loss: 2.2699 | D Loss: 0.3319
Client 2 (MNIST) | Target Loss: 0.9505 | G Loss: 2.4111 | D Loss: 0.3326
Client 3 (MNIST) | Target Loss: 0.9981 | G Loss: 2.2076 | D Loss: 0.3301
Client 4 (MNIST) | Target Loss: 1.0111 | G Loss: 2.3914 | D Loss: 0.3242
Client 6 (EMNIST) | Target Loss: 1.0675 | G Loss: 2.5558 | D Loss: 0.2563
Client 7 (EMNIST) | Target Loss: 1.0350 | G Loss: 2.6098 | D Loss: 0.2548
Client 8 (EMNIST) | Target Loss: 1.0342 | G Loss: 2.8233 | D Loss: 0.2319
Client 9 (EMNIST) | Target Loss: 1.0239 | G Loss: 2.7251 | D Loss: 0.2451
Client 10 (EMNIST) | Target Loss: 1.0340 | G Loss: 2.7949 | D Loss: 0.2337
Round 1 | Client 0 | Model: (CNN) | Acc: 76.45%
Round 1 | Client 1 | Model: (CNN) | Acc: 81.64%
Round 1 | Client 2 | Model: (CNN) | Acc: 79.38%
Round 1 | Client 3 | Model: (CNN) | Acc: 81.45%
Round 1 | Client 4 | Model: (CNN) | Acc: 69.41%
Round 1 | Client 6 | Model: (CNN) | Acc: 75.56%
Round 1 | Client 7 | Model: (CNN) | Acc: 74.74%
Round 1 | Client 8 | Model: (CNN) | Acc: 73.15%
Round 1 | Client 9 | Model: (CNN) | Acc: 75.18%
Round 1 | Client 10 | Model: (CNN) | Acc: 79.80%
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
--- Round 2 ---
Client 0 (MNIST) | Target Loss: 0.2032 | G Loss: 1.5463 | D Loss: 0.4474
Client 1 (MNIST) | Target Loss: 0.2582 | G Loss: 1.5564 | D Loss: 0.4430
Client 2 (MNIST) | Target Loss: 0.2040 | G Loss: 1.5499 | D Loss: 0.4468
Client 3 (MNIST) | Target Loss: 0.2309 | G Loss: 1.5888 | D Loss: 0.4315
Client 4 (MNIST) | Target Loss: 0.2395 | G Loss: 1.5582 | D Loss: 0.4491
Client 6 (EMNIST) | Target Loss: 0.5864 | G Loss: 4.4463 | D Loss: 0.1092
Client 7 (EMNIST) | Target Loss: 0.5676 | G Loss: 4.5964 | D Loss: 0.1043
Client 8 (EMNIST) | Target Loss: 0.5769 | G Loss: 5.0548 | D Loss: 0.0980
Client 9 (EMNIST) | Target Loss: 0.5625 | G Loss: 4.6157 | D Loss: 0.1053
Client 10 (EMNIST) | Target Loss: 0.5747 | G Loss: 4.6235 | D Loss: 0.1048
Round 2 | Client 0 | Model: (CNN) | Acc: 80.20%
Round 2 | Client 1 | Model: (CNN) | Acc: 80.10%
Round 2 | Client 2 | Model: (CNN) | Acc: 84.45%
Round 2 | Client 3 | Model: (CNN) | Acc: 89.25%
Round 2 | Client 4 | Model: (CNN) | Acc: 84.99%
Round 2 | Client 6 | Model: (CNN) | Acc: 79.56%
Round 2 | Client 7 | Model: (CNN) | Acc: 80.78%
Round 2 | Client 8 | Model: (CNN) | Acc: 78.60%
Round 2 | Client 9 | Model: (CNN) | Acc: 78.11%
Round 2 | Client 10 | Model: (CNN) | Acc: 82.01%
