thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.3,1.0,0.65,3,0,610,7
0.15,0.3,1.0,0.65,3,0,610,7
0.2,0.6,1.0,0.8,6,0,610,4
0.25,0.5,1.0,0.75,5,0,610,5
0.3,0.8,1.0,0.9,8,0,610,2
0.35,0.8,1.0,0.9,8,0,610,2
0.4,0.8,1.0,0.9,8,0,610,2
0.45,0.6,1.0,0.8,6,0,610,4
0.5,0.9,1.0,0.95,9,0,610,1
0.55,0.8,1.0,0.9,8,0,610,2
0.6,0.9,1.0,0.95,9,0,610,1
0.65,0.9,1.0,0.95,9,0,610,1
0.7,1.0,1.0,1.0,10,0,610,0
0.75,0.9,0.9983606557377049,0.9491803278688524,9,1,609,1
0.8,0.9,0.9983606557377049,0.9491803278688524,9,1,609,1
0.85,1.0,1.0,1.0,10,0,610,0
0.9,1.0,1.0,1.0,10,0,610,0
0.95,1.0,1.0,1.0,10,0,610,0
1.0,1.0,1.0,1.0,10,0,610,0
