Round,Accuracy
1,3.05
2,39.05
3,46.91
4,55.17
5,57.29
6,55.48
7,62.43
8,58.26
9,56.66
10,60.53
11,59.79
12,57.67
13,58.72
14,57.85
15,57.92
16,60.81
17,60.08
18,61.87
19,59.78
20,55.96
21,60.02
22,55.03
23,55.79
24,54.21
25,59.75
26,50.65
27,54.3
28,59.22
29,61.13
30,61.8
31,57.45
32,52.42
33,49.14
34,54.76
35,49.82
36,47.71
37,52.31
38,57.34
39,57.25
40,60.67
41,51.84
42,47.42
43,57.51
44,59.93
45,55.05
46,52.2
47,53.63
48,52.14
49,51.76
50,57.76
51,43.49
52,47.59
53,54.16
54,49.15
55,45.1
56,47.55
57,51.45
58,53.96
59,49.56
60,46.94
61,48.76
62,50.77
63,54.13
64,41.5
65,39.54
66,52.9
67,58.18
68,46.83
69,44.51
70,46.12
71,34.88
72,44.52
73,43.63
74,23.65
75,44.2
76,56.33
77,43.13
78,51.14
79,38.95
80,42.27
81,43.76
82,53.49
83,53.47
84,49.23
85,23.74
86,42.39
87,50.24
88,28.68
89,40.04
90,35.12
91,35.05
92,41.88
93,46.44
94,42.91
95,44.66
96,30.97
97,39.05
98,41.1
99,37.09
100,48.91
