Round,Accuracy
1,1.72
2,1.06
3,2.58
4,1.81
5,3.43
6,3.95
7,2.95
8,1.42
9,4.31
10,3.98
11,0.88
12,1.58
13,2.79
14,2.53
15,4.75
16,3.49
17,3.39
18,4.22
19,2.11
20,4.58
21,1.45
22,4.46
23,1.79
24,2.31
25,1.62
26,1.2
27,2.97
28,2.21
29,2.8
30,2.09
31,1.54
32,2.12
33,1.25
34,0.93
35,2.28
36,1.34
37,1.47
38,1.57
39,1.15
40,1.0
41,0.97
42,0.91
43,0.67
44,1.31
45,1.07
46,0.68
47,1.59
48,1.34
49,1.56
50,2.66
51,2.36
52,1.62
53,1.58
54,1.33
55,1.22
56,1.15
57,0.7
58,2.96
59,1.69
60,2.24
61,2.51
62,1.11
63,2.51
64,2.68
65,1.32
66,2.17
67,1.2
68,1.87
69,2.74
70,2.59
71,4.47
72,3.32
73,1.23
74,1.28
75,2.78
76,2.64
77,1.46
78,1.72
79,1.07
80,2.32
81,1.2
82,1.66
83,2.03
84,1.95
85,3.96
86,1.92
87,2.11
88,1.43
89,2.97
90,2.48
91,1.98
92,2.01
93,1.41
94,0.65
95,2.52
96,2.11
97,2.75
98,2.06
99,1.28
100,3.41
