Round,Accuracy
1,1.37
2,1.16
3,1.56
4,1.25
5,1.7
6,2.95
7,1.64
8,1.0
9,2.39
10,2.19
11,1.09
12,1.2
13,1.94
14,1.66
15,2.57
16,1.75
17,2.07
18,1.86
19,1.36
20,2.21
21,1.03
22,2.08
23,1.27
24,1.72
25,1.26
26,1.03
27,1.98
28,1.37
29,1.52
30,1.24
31,1.1
32,1.64
33,1.08
34,1.0
35,1.68
36,1.31
37,0.97
38,1.24
39,0.89
40,0.95
41,0.81
42,0.72
43,0.7
44,0.97
45,0.91
46,0.84
47,1.39
48,1.05
49,1.11
50,1.72
51,1.53
52,1.42
53,1.16
54,1.1
55,0.99
56,1.18
57,1.09
58,1.76
59,1.21
60,1.37
61,1.42
62,1.12
63,1.46
64,1.6
65,1.06
66,1.36
67,1.0
68,1.15
69,1.39
70,1.22
71,1.99
72,1.69
73,0.81
74,0.82
75,1.41
76,1.45
77,0.96
78,1.07
79,0.96
80,1.29
81,0.96
82,1.18
83,1.16
84,1.0
85,1.79
86,1.15
87,1.01
88,0.9
89,1.37
90,1.25
91,1.17
92,1.14
93,0.94
94,0.63
95,1.59
96,1.28
97,1.52
98,1.2
99,1.18
100,1.65
