Round,Accuracy
1,11.13
2,4.07
3,9.82
4,10.98
5,12.55
6,5.98
7,7.1
8,12.18
9,8.7
10,14.97
11,10.15
12,9.88
13,10.29
14,8.51
15,6.79
16,9.41
17,15.85
18,12.87
19,4.31
20,5.64
21,11.04
22,5.24
23,12.89
24,4.36
25,8.99
26,11.44
27,5.52
28,4.34
29,4.65
30,3.69
31,3.86
32,5.02
33,0.98
34,2.23
35,3.44
36,2.01
37,7.37
38,9.23
39,8.56
40,9.21
41,8.11
42,8.4
43,8.96
44,7.69
45,6.1
46,7.44
47,7.32
48,4.48
49,6.63
50,5.05
51,4.35
52,5.38
53,2.54
54,5.43
55,5.52
56,2.71
57,4.03
58,1.64
59,1.24
60,3.23
61,1.65
62,2.66
63,3.49
64,7.23
65,2.79
66,3.09
67,2.4
68,2.33
69,9.41
70,3.87
71,8.12
72,2.26
73,3.13
74,1.08
75,13.12
76,8.47
77,4.25
78,0.9
79,6.79
80,1.76
81,2.92
82,3.41
83,2.98
84,2.98
85,7.58
86,3.44
87,7.87
88,12.88
89,9.99
90,9.58
91,9.07
92,4.11
93,11.77
94,10.52
95,6.82
96,5.85
97,10.57
98,4.21
99,3.59
100,3.21
