Round,Accuracy
1,72.4
2,82.66
3,84.37
4,82.51
5,78.32
6,82.16
7,76.32
8,82.63
9,84.27
10,74.96
11,79.41
12,79.89
13,81.74
14,83.91
15,81.37
16,81.31
17,76.58
18,78.06
19,83.63
20,86.82
21,84.27
22,84.02
23,84.91
24,88.22
25,88.47
26,83.63
27,84.85
28,86.09
29,83.85
30,84.51
31,83.93
32,78.09
33,84.05
34,87.65
35,88.2
36,85.74
37,84.57
38,87.22
39,86.84
40,84.3
41,88.27
42,87.22
43,81.41
44,83.05
45,82.52
46,79.76
47,80.9
48,83.23
49,80.74
50,85.54
51,84.47
52,82.72
53,83.14
54,80.36
55,81.2
56,84.39
57,80.98
58,83.9
59,83.89
60,81.1
61,87.01
62,82.48
63,73.71
64,82.75
65,82.14
66,77.61
67,79.69
68,76.53
69,84.1
70,88.69
71,83.02
72,87.98
73,84.82
74,85.31
75,78.8
76,81.1
77,81.95
78,82.03
79,78.67
80,81.84
81,85.99
82,84.93
83,83.84
84,79.76
85,81.13
86,83.36
87,75.87
88,82.37
89,80.78
90,81.36
91,80.95
92,82.39
93,84.11
94,82.53
95,85.18
96,86.36
97,82.44
98,86.17
99,87.52
100,86.6
