Round,Accuracy
1,67.54
2,69.49
3,69.9
4,70.32
5,68.45
6,69.6
7,67.64
8,69.4
9,69.23
10,63.74
11,67.53
12,67.85
13,68.15
14,68.93
15,68.17
16,67.8
17,65.13
18,66.7
19,68.26
20,69.51
21,68.63
22,68.47
23,69.45
24,69.79
25,69.76
26,68.56
27,67.83
28,68.43
29,67.95
30,67.76
31,66.59
32,64.47
33,67.51
34,68.77
35,69.3
36,66.83
37,67.86
38,68.69
39,67.96
40,67.54
41,68.33
42,67.81
43,66.84
44,67.69
45,67.42
46,65.93
47,65.66
48,67.81
49,66.49
50,68.35
51,67.74
52,64.53
53,67.24
54,66.18
55,65.94
56,67.58
57,65.54
58,66.36
59,66.19
60,64.19
61,67.49
62,65.81
63,58.85
64,67.03
65,66.25
66,64.8
67,64.61
68,63.05
69,66.25
70,67.95
71,65.2
72,67.61
73,66.2
74,65.67
75,64.74
76,65.35
77,65.12
78,65.88
79,63.05
80,65.9
81,66.46
82,65.8
83,64.14
84,60.4
85,63.62
86,65.3
87,60.48
88,62.87
89,62.37
90,63.48
91,63.2
92,65.45
93,65.24
94,63.26
95,65.08
96,66.42
97,62.88
98,66.57
99,67.08
100,66.54
