Round,Accuracy
20,58.77
21,62.23
22,55.51
23,62.24
24,62.56
25,57.38
26,58.31
27,58.07
28,59.03
29,60.54
30,56.19
31,59.23
32,62.78
33,59.5
34,58.75
35,63.25
36,62.36
37,59.22
38,57.86
39,55.8
40,59.86
41,56.98
42,60.73
43,58.56
44,54.78
45,55.57
46,56.62
47,59.24
48,62.77
49,62.88
50,60.46
51,65.36
52,58.29
53,55.42
54,53.75
55,51.03
56,61.76
57,64.95
58,65.76
59,64.42
60,60.75
61,66.36
62,61.41
63,59.79
64,64.34
65,68.18
66,60.9
67,61.3
68,62.09
69,61.41
70,58.59
71,62.04
72,60.44
73,60.84
74,54.95
75,58.39
76,48.96
77,55.51
78,56.95
79,51.89
80,48.85
81,44.47
82,46.74
83,48.42
84,49.76
85,53.99
86,57.37
87,53.29
88,46.35
89,54.14
90,48.28
91,43.6
92,46.77
93,47.41
94,49.47
95,58.47
96,39.89
97,33.34
98,47.97
99,29.81
100,17.71
