Round,Accuracy
20,15.2
21,13.32
22,14.78
23,12.38
24,7.93
25,3.24
26,9.65
27,16.31
28,14.23
29,22.76
30,12.99
31,2.93
32,2.13
33,3.29
34,6.31
35,10.22
36,15.98
37,10.36
38,7.12
39,3.93
40,10.57
41,6.19
42,10.64
43,9.22
44,10.69
45,9.98
46,8.58
47,4.01
48,5.14
49,4.97
50,11.85
51,11.26
52,6.1
53,3.4
54,1.24
55,15.16
56,11.07
57,11.12
58,8.2
59,7.99
60,5.44
61,3.78
62,0.8
63,5.71
64,2.88
65,4.47
66,3.44
67,0.81
68,2.09
69,0.1
70,0.02
71,7.63
72,5.99
73,6.19
74,4.8
75,0.56
76,0.62
77,0.02
78,3.51
79,3.75
80,0.63
81,0.58
82,1.82
83,0.09
84,6.81
85,7.87
86,5.46
87,5.35
88,4.73
89,1.3
90,4.05
91,0.12
92,0.64
93,0.34
94,14.62
95,7.23
96,8.05
97,2.14
98,5.58
99,5.09
100,4.07
