Round,Accuracy
20,70.56
21,74.72
22,74.0
23,74.58
24,73.36
25,74.21
26,73.04
27,73.87
28,74.39
29,71.98
30,72.05
31,72.39
32,72.52
33,71.89
34,70.48
35,71.77
36,69.9
37,70.55
38,71.17
39,72.57
40,71.56
41,72.17
42,71.09
43,72.16
44,71.74
45,70.51
46,71.38
47,72.37
48,71.77
49,71.9
50,70.28
51,69.49
52,70.81
53,71.04
54,71.51
55,71.18
56,70.93
57,71.57
58,71.63
59,70.85
60,72.17
61,72.17
62,60.74
63,71.36
64,71.75
65,71.36
66,71.54
67,72.01
68,71.09
69,72.14
70,72.26
71,70.95
72,71.02
73,70.8
74,71.37
75,71.86
76,71.26
77,71.96
78,70.38
79,69.96
80,71.86
81,71.61
82,70.56
83,71.9
84,72.24
85,72.12
86,73.15
87,72.84
88,71.85
89,73.74
90,71.39
91,71.89
92,71.95
93,72.07
94,69.58
95,70.78
96,71.27
97,71.43
98,71.34
99,71.09
100,71.67
