Round,Accuracy
20,74.11
21,78.66
22,79.54
23,82.7
24,78.61
25,81.75
26,79.58
27,82.84
28,86.15
29,79.47
30,80.05
31,79.47
32,80.23
33,81.72
34,78.13
35,81.22
36,78.08
37,77.84
38,77.93
39,83.01
40,80.43
41,81.19
42,81.03
43,84.52
44,82.7
45,78.32
46,82.98
47,86.48
48,84.02
49,85.09
50,80.54
51,78.36
52,81.63
53,83.52
54,85.16
55,81.83
56,80.02
57,81.67
58,83.78
59,80.8
60,87.41
61,84.73
62,79.49
63,81.03
64,82.09
65,80.81
66,81.48
67,83.86
68,82.2
69,85.9
70,86.06
71,86.59
72,84.09
73,83.77
74,85.39
75,87.5
76,84.84
77,87.89
78,84.38
79,83.3
80,88.92
81,85.99
82,83.8
83,87.14
84,86.62
85,85.2
86,88.52
87,87.74
88,84.98
89,90.59
90,82.08
91,88.57
92,87.06
93,86.53
94,82.24
95,83.44
96,85.92
97,86.09
98,85.94
99,83.17
100,86.39
