Round,Accuracy
20,66.76
21,70.5
22,70.06
23,70.61
24,68.95
25,69.55
26,68.87
27,70.3
28,70.84
29,68.92
30,68.31
31,67.81
32,67.92
33,67.57
34,66.33
35,67.94
36,66.55
37,66.67
38,66.96
39,68.3
40,67.74
41,67.98
42,67.38
43,68.44
44,68.07
45,66.64
46,67.62
47,68.39
48,67.78
49,67.95
50,66.74
51,65.87
52,66.85
53,66.99
54,67.35
55,67.85
56,67.21
57,67.87
58,67.86
59,66.97
60,68.39
61,68.07
62,57.72
63,67.25
64,67.46
65,67.15
66,67.27
67,67.66
68,66.84
69,67.86
70,67.97
71,67.45
72,67.2
73,67.01
74,67.52
75,67.77
76,67.07
77,67.85
78,66.5
79,66.07
80,67.88
81,67.45
82,66.49
83,67.75
84,68.5
85,68.36
86,69.31
87,68.98
88,67.88
89,69.66
90,67.23
91,67.85
92,67.82
93,67.86
94,66.47
95,67.04
96,67.7
97,67.42
98,67.58
99,67.13
100,67.78
