thresh,recall,specificity,precision,average_accuracy,F1-Score,MCC,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,610,10
0.15,0.1,1.0,1.0,0.55,0.18181818181818182,0.3139204389701808,1,0,610,9
0.2,0.3,1.0,1.0,0.65,0.4615384615384615,0.5446066785853857,3,0,610,7
0.25,0.3,0.9983606557377049,0.75,0.6491803278688525,0.4285714285714285,0.46944651431900025,3,1,609,7
0.3,0.3,0.9983606557377049,0.75,0.6491803278688525,0.4285714285714285,0.46944651431900025,3,1,609,7
0.35,0.4,0.9983606557377049,0.8,0.6991803278688524,0.5333333333333333,0.5610722584198337,4,1,609,6
0.4,0.6,0.9983606557377049,0.8571428571428571,0.7991803278688525,0.7058823529411764,0.7134256008593045,6,1,609,4
0.45,0.6,0.9983606557377049,0.8571428571428571,0.7991803278688525,0.7058823529411764,0.7134256008593045,6,1,609,4
0.5,0.6,0.9983606557377049,0.8571428571428571,0.7991803278688525,0.7058823529411764,0.7134256008593045,6,1,609,4
0.55,0.6,0.9983606557377049,0.8571428571428571,0.7991803278688525,0.7058823529411764,0.7134256008593045,6,1,609,4
0.6,0.6,0.9983606557377049,0.8571428571428571,0.7991803278688525,0.7058823529411764,0.7134256008593045,6,1,609,4
0.65,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.7,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.75,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.8,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.85,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.9,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
0.95,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
1.0,0.9,0.9983606557377049,0.9,0.9491803278688524,0.9,0.898360655737705,9,1,609,1
