entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.15,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
0.2,0.8,0.9992481203007518,0.8888888888888888,0.899624060150376,0.8421052631578948,0.8421649480451671,8,1,1329,2
0.25,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.3,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
0.35,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.4,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.45,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.55,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.6,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.65,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.7,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.75,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.8,1.0,0.9992481203007518,0.9090909090909091,0.9996240601503759,0.9523809523809523,0.9531040772610264,10,1,1329,0
0.85,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
0.9,1.0,0.9977443609022556,0.7692307692307693,0.9988721804511278,0.8695652173913044,0.8760682976985895,10,3,1327,0
0.95,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
1.0,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
