entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
0.15,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
0.2,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.25,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.3,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
0.35,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.4,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.45,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.5,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.55,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.6,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.65,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.7,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.75,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.8,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
0.85,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
0.9,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
0.95,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
1.0,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
