entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.55,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
0.6,0.5,0.9992481203007518,0.8333333333333334,0.7496240601503759,0.625,0.6435595197197483,5,1,1329,5
0.65,0.7,0.9992481203007518,0.875,0.849624060150376,0.7777777777777777,0.7811960202851314,7,1,1329,3
0.7,0.7,0.9992481203007518,0.875,0.849624060150376,0.7777777777777777,0.7811960202851314,7,1,1329,3
0.75,0.8,0.9992481203007518,0.8888888888888888,0.899624060150376,0.8421052631578948,0.8421649480451671,8,1,1329,2
0.8,0.9,0.9992481203007518,0.9,0.9496240601503759,0.9,0.8992481203007519,9,1,1329,1
0.85,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
0.9,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
0.95,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
1.0,0.9,0.9977443609022556,0.75,0.9488721804511278,0.8181818181818182,0.8201416087217714,9,3,1327,1
