entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.25,0.2,1.0,1.0,0.6,0.33333333333333337,0.4458746296340156,2,0,1330,8
0.3,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
0.35,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
0.4,0.4,1.0,1.0,0.7,0.5714285714285715,0.6310337493465553,4,0,1330,6
0.45,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.5,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.55,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
0.6,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
0.65,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.7,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.75,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.8,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.85,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
0.9,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
0.95,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
1.0,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
