thresh,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.15,0.0,0.9992481203007518,0.0,0.4996240601503759,0.0,-0.0023696482870024203,0,1,1329,10
0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.25,0.0,0.9992481203007518,0.0,0.4996240601503759,0.0,-0.0023696482870024203,0,1,1329,10
0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.65,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
0.7,0.1,0.9992481203007518,0.5,0.5496240601503759,0.16666666666666669,0.22126109440484984,1,1,1329,9
0.75,0.2,0.9984962406015038,0.5,0.5992481203007519,0.28571428571428575,0.31314456734490714,2,2,1328,8
0.8,0.3,0.9969924812030075,0.42857142857142855,0.6484962406015038,0.3529411764705882,0.35457423978304414,3,4,1326,7
0.85,0.2,0.9977443609022556,0.4,0.5988721804511278,0.26666666666666666,0.2791285714982551,2,3,1327,8
0.9,0.3,0.9977443609022556,0.5,0.6488721804511278,0.37499999999999994,0.38380959308587403,3,3,1327,7
0.95,0.3,0.9962406015037594,0.375,0.6481203007518797,0.33333333333333326,0.33095831397026,3,5,1325,7
1.0,0.3,0.9954887218045113,0.3333333333333333,0.6477443609022556,0.3157894736842105,0.311355432344074,3,6,1324,7
