thresh,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.65,0.0,0.9992481203007518,0.0,0.4996240601503759,0.0,-0.0023696482870024203,0,1,1329,10
0.7,0.2,0.9992481203007518,0.6666666666666666,0.599624060150376,0.30769230769230765,0.36282209146714384,2,1,1329,8
0.75,0.3,0.9984962406015038,0.6,0.6492481203007519,0.4,0.42134617066466645,3,2,1328,7
0.8,0.2,0.9977443609022556,0.4,0.5988721804511278,0.26666666666666666,0.2791285714982551,2,3,1327,8
0.85,0.3,0.9969924812030075,0.42857142857142855,0.6484962406015038,0.3529411764705882,0.35457423978304414,3,4,1326,7
0.9,0.3,0.9977443609022556,0.5,0.6488721804511278,0.37499999999999994,0.38380959308587403,3,3,1327,7
0.95,0.4,0.9954887218045113,0.4,0.6977443609022557,0.4000000000000001,0.3954887218045113,4,6,1324,6
1.0,0.3,0.9954887218045113,0.3333333333333333,0.6477443609022556,0.3157894736842105,0.311355432344074,3,6,1324,7
