Round,Accuracy
25,75.81
26,71.26
27,76.33
28,78.9
29,77.09
30,77.18
31,75.94
32,78.97
33,80.4
34,82.56
35,78.33
36,81.17
37,81.59
38,82.04
39,79.93
40,80.42
41,79.86
42,76.3
43,80.06
44,80.77
45,74.75
46,79.96
47,81.68
48,81.16
49,81.15
50,78.87
51,81.3
52,78.92
53,83.05
54,82.01
55,83.56
56,80.62
57,82.51
58,80.03
59,81.62
60,79.6
61,80.4
62,80.73
63,81.9
64,83.06
65,83.06
66,81.42
67,80.75
68,79.71
69,80.4
70,82.37
71,81.41
72,82.97
73,82.96
74,80.08
75,81.39
76,80.58
77,82.56
78,80.02
79,81.69
80,83.69
81,82.07
82,81.18
83,81.5
84,84.11
85,81.87
86,81.25
87,80.1
88,81.78
89,79.63
90,83.49
91,80.85
92,83.33
93,82.71
94,83.48
95,83.7
96,81.44
97,80.91
98,81.77
99,81.04
100,81.57
