Round,Accuracy
25,30.47
26,38.01
27,36.82
28,40.9
29,38.55
30,46.55
31,44.96
32,50.1
33,50.19
34,53.85
35,51.49
36,53.26
37,55.25
38,57.19
39,54.12
40,56.55
41,57.85
42,56.08
43,57.98
44,56.27
45,57.49
46,58.0
47,58.2
48,60.38
49,59.71
50,59.86
51,59.11
52,59.08
53,56.78
54,57.85
55,61.63
56,60.38
57,58.48
58,60.48
59,60.69
60,60.67
61,61.86
62,61.52
63,59.49
64,61.6
65,61.42
66,62.89
67,62.41
68,61.98
69,60.3
70,60.75
71,60.55
72,59.86
73,62.75
74,60.89
75,59.67
76,59.8
77,62.08
78,62.07
79,60.33
80,62.69
81,62.02
82,62.87
83,62.32
84,61.89
85,62.42
86,63.11
87,63.37
88,62.24
89,63.69
90,61.93
91,63.87
92,62.04
93,63.78
94,62.75
95,61.53
96,64.26
97,64.09
98,64.29
99,62.37
100,61.71
