Round,Accuracy
25,90.3
26,91.18
27,89.05
28,93.91
29,92.78
30,93.12
31,91.47
32,93.66
33,94.46
34,95.43
35,95.99
36,94.06
37,93.34
38,94.59
39,94.13
40,95.81
41,94.7
42,95.25
43,93.19
44,95.37
45,87.39
46,93.96
47,94.55
48,88.86
49,95.01
50,94.65
51,96.59
52,95.12
53,94.82
54,95.37
55,91.53
56,94.08
57,95.87
58,89.64
59,90.32
60,90.61
61,92.36
62,91.85
63,89.71
64,91.29
65,93.53
66,92.94
67,91.49
68,92.16
69,90.18
70,85.71
71,90.96
72,83.32
73,83.82
74,88.84
75,87.97
76,65.84
77,72.69
78,74.72
79,75.91
80,77.11
81,74.93
82,69.4
83,80.76
84,63.33
85,48.35
86,24.06
87,45.0
88,19.07
89,35.38
90,48.82
91,49.53
92,58.25
93,42.52
94,49.97
95,50.82
96,44.06
97,39.08
98,43.82
99,15.76
100,28.5
