Round,Accuracy
25,32.56
26,36.99
27,39.22
28,42.0
29,42.77
30,43.47
31,43.79
32,45.1
33,45.4
34,46.41
35,45.55
36,45.32
37,45.02
38,45.57
39,48.8
40,48.08
41,49.0
42,47.93
43,48.47
44,48.43
45,50.3
46,48.78
47,49.51
48,50.27
49,51.4
50,49.87
51,50.8
52,50.69
53,51.29
54,51.36
55,49.89
56,51.15
57,51.34
58,51.82
59,52.41
60,52.07
61,51.35
62,50.92
63,50.71
64,53.23
65,54.36
66,52.42
67,54.27
68,52.63
69,51.73
70,53.99
71,53.75
72,54.24
73,53.08
74,54.29
75,53.44
76,53.58
77,53.79
78,54.51
79,54.52
80,54.62
81,54.43
82,55.33
83,53.8
84,56.07
85,54.66
86,55.21
87,55.74
88,55.53
89,54.87
90,53.66
91,55.66
92,55.51
93,54.85
94,54.6
95,56.64
96,54.2
97,55.12
98,55.44
99,56.43
100,55.29
