Round,Accuracy
25,87.98
26,82.81
27,82.98
28,87.26
29,90.09
30,90.75
31,88.28
32,91.28
33,91.62
34,90.63
35,90.09
36,91.26
37,91.09
38,90.17
39,90.31
40,90.26
41,89.83
42,91.69
43,92.18
44,91.89
45,89.53
46,90.76
47,91.23
48,91.16
49,92.19
50,89.14
51,92.64
52,91.37
53,92.17
54,91.62
55,92.58
56,89.61
57,91.27
58,90.91
59,91.43
60,92.51
61,90.91
62,91.91
63,90.05
64,92.09
65,92.12
66,92.46
67,92.02
68,92.88
69,92.55
70,93.08
71,92.96
72,92.61
73,92.97
74,92.41
75,91.15
76,93.24
77,93.6
78,91.76
79,91.91
80,92.64
81,93.75
82,91.97
83,93.06
84,93.27
85,93.1
86,92.31
87,93.73
88,93.07
89,93.18
90,92.24
91,93.21
92,94.07
93,93.36
94,93.62
95,92.94
96,93.06
97,93.63
98,93.71
99,92.91
100,92.42
