Round,Accuracy
25,63.42
26,61.91
27,65.92
28,67.15
29,69.68
30,69.71
31,68.35
32,69.15
33,71.38
34,70.46
35,72.1
36,71.4
37,69.85
38,70.29
39,72.18
40,70.65
41,71.42
42,72.98
43,72.58
44,71.6
45,71.11
46,71.71
47,71.8
48,72.45
49,72.91
50,71.32
51,71.81
52,71.51
53,72.38
54,72.38
55,73.46
56,72.96
57,73.79
58,71.79
59,73.0
60,73.29
61,72.73
62,73.23
63,72.84
64,73.96
65,73.9
66,73.2
67,72.59
68,73.1
69,73.9
70,73.4
71,73.13
72,74.27
73,74.03
74,74.27
75,73.79
76,74.06
77,73.59
78,73.15
79,73.77
80,74.73
81,73.45
82,73.79
83,74.66
84,74.3
85,74.86
86,74.34
87,74.62
88,74.38
89,75.28
90,74.72
91,74.56
92,74.64
93,75.24
94,75.65
95,74.76
96,74.75
97,75.32
98,75.55
99,75.28
100,75.16
