Round,Accuracy
25,0.0
26,0.0
27,9.26
28,9.96
29,9.63
30,9.96
31,1.48
32,0.16
33,6.6
34,4.56
35,4.09
36,2.59
37,1.8
38,2.15
39,2.3
40,1.78
41,1.35
42,1.71
43,1.16
44,1.91
45,1.25
46,1.8
47,3.21
48,7.47
49,7.18
50,6.38
51,2.58
52,2.77
53,3.7
54,3.32
55,3.65
56,4.82
57,2.81
58,2.45
59,5.07
60,13.13
61,11.89
62,7.69
63,6.31
64,6.93
65,8.99
66,12.58
67,12.67
68,12.12
69,11.92
70,9.91
71,9.46
72,11.62
73,11.84
74,10.2
75,9.08
76,12.02
77,13.43
78,11.25
79,11.47
80,13.36
81,12.4
82,12.48
83,11.56
84,8.58
85,7.67
86,9.09
87,9.58
88,9.01
89,8.23
90,10.34
91,12.88
92,12.31
93,11.81
94,9.84
95,12.9
96,11.05
97,10.44
98,11.69
99,13.74
100,15.9
