Round,Accuracy
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.01
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.05
39,0.51
40,0.48
41,0.14
42,0.81
43,0.4
44,0.59
45,0.0
46,0.11
47,0.59
48,0.57
49,1.3
50,0.01
51,0.01
52,0.18
53,1.09
54,0.93
55,0.66
56,0.95
57,2.52
58,1.78
59,0.8
60,0.32
61,0.16
62,0.4
63,0.52
64,0.93
65,1.51
66,1.4
67,1.79
68,1.14
69,0.67
70,0.81
71,0.66
72,0.75
73,1.18
74,0.57
75,0.66
76,0.75
77,0.95
78,0.78
79,0.59
80,0.99
81,1.22
82,1.44
83,2.22
84,1.63
85,1.22
86,1.29
87,1.04
88,0.81
89,0.52
90,0.79
91,1.03
92,1.03
93,1.37
94,1.55
95,1.66
96,1.55
97,1.25
98,1.12
99,1.0
100,1.5
